fuel,r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2020,1.0,1.0,1.0,USD2010/GJ,6
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2025,0.99,0.93,1.03,USD2010/GJ,6
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2030,0.93,0.91,0.94,USD2010/GJ,6
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2035,0.87,0.87,0.88,USD2010/GJ,6
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2040,0.89,0.89,0.91,USD2010/GJ,6
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2045,0.96,0.95,0.96,USD2010/GJ,6
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2050,0.97,0.94,0.98,USD2010/GJ,6
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2025,0.99,0.97,1.03,USD2010/GJ,7
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2030,0.83,0.82,0.85,USD2010/GJ,7
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2035,0.86,0.85,0.91,USD2010/GJ,7
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2040,0.95,0.93,0.97,USD2010/GJ,7
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2045,0.98,0.97,1.01,USD2010/GJ,7
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2050,1.05,1.03,1.08,USD2010/GJ,7
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2020,1.0,1.0,1.0,USD2010/GJ,15
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2025,0.99,0.88,1.32,USD2010/GJ,15
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2030,0.86,0.81,1.19,USD2010/GJ,15
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2035,0.91,0.85,1.32,USD2010/GJ,15
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2040,0.96,0.92,1.69,USD2010/GJ,15
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2045,1.05,1.01,2.36,USD2010/GJ,15
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2050,1.1,1.08,3.03,USD2010/GJ,15
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2020,1.0,1.0,1.0,USD2010/GJ,8
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2025,1.29,1.29,1.3,USD2010/GJ,8
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2030,1.1,1.07,1.16,USD2010/GJ,8
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2035,1.02,1.0,1.1,USD2010/GJ,8
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2040,1.11,1.04,1.17,USD2010/GJ,8
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2045,1.45,1.27,1.56,USD2010/GJ,8
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2050,1.92,1.69,2.17,USD2010/GJ,8
biomass,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2025,0.84,0.83,1.16,USD2010/GJ,7
biomass,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2030,0.79,0.78,1.04,USD2010/GJ,7
biomass,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2035,0.82,0.81,0.86,USD2010/GJ,7
biomass,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2040,0.86,0.84,0.86,USD2010/GJ,7
biomass,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2045,0.88,0.85,0.89,USD2010/GJ,7
biomass,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2050,0.9,0.87,0.92,USD2010/GJ,7
