technology,iea_region,year,capex_lo,capex_mid,capex_hi,fixed_om,efficiency,capacity_factor,unit
en_battery_4h,ieapg_africa,2022,2100.8,2100.8,2100.8,48.2,,,USD2022/kW
en_battery_4h,ieapg_africa,2025,1390.7,1711.4,2159.9,38.8,,,USD2022/kW
en_battery_4h,ieapg_africa,2030,1117.6,1451.3,1774.9,32.5,,,USD2022/kW
en_battery_4h,ieapg_africa,2035,1028.7,1347.4,1717.7,30.0,,,USD2022/kW
en_battery_4h,ieapg_africa,2040,939.8,1243.5,1660.5,27.5,,,USD2022/kW
en_battery_4h,ieapg_africa,2045,850.9,1139.6,1603.3,25.0,,,USD2022/kW
en_battery_4h,ieapg_africa,2050,762.0,1035.8,1546.1,22.5,,,USD2022/kW
en_battery_4h,ieapg_brazil,2022,2100.8,2100.8,2100.8,48.2,,,USD2022/kW
en_battery_4h,ieapg_brazil,2025,1390.7,1711.4,2159.9,38.8,,,USD2022/kW
en_battery_4h,ieapg_brazil,2030,1117.6,1451.3,1774.9,32.5,,,USD2022/kW
en_battery_4h,ieapg_brazil,2035,1028.7,1347.4,1717.7,30.0,,,USD2022/kW
en_battery_4h,ieapg_brazil,2040,939.8,1243.5,1660.5,27.5,,,USD2022/kW
en_battery_4h,ieapg_brazil,2045,850.9,1139.6,1603.3,25.0,,,USD2022/kW
en_battery_4h,ieapg_brazil,2050,762.0,1035.8,1546.1,22.5,,,USD2022/kW
en_battery_4h,ieapg_china,2022,2100.8,2100.8,2100.8,48.2,,,USD2022/kW
en_battery_4h,ieapg_china,2025,1390.7,1711.4,2159.9,38.8,,,USD2022/kW
en_battery_4h,ieapg_china,2030,1117.6,1451.3,1774.9,32.5,,,USD2022/kW
en_battery_4h,ieapg_china,2035,1028.7,1347.4,1717.7,30.0,,,USD2022/kW
en_battery_4h,ieapg_china,2040,939.8,1243.5,1660.5,27.5,,,USD2022/kW
en_battery_4h,ieapg_china,2045,850.9,1139.6,1603.3,25.0,,,USD2022/kW
en_battery_4h,ieapg_china,2050,762.0,1035.8,1546.1,22.5,,,USD2022/kW
en_battery_4h,ieapg_european_union,2022,2100.8,2100.8,2100.8,48.2,,,USD2022/kW
en_battery_4h,ieapg_european_union,2025,1390.7,1711.4,2159.9,38.8,,,USD2022/kW
en_battery_4h,ieapg_european_union,2030,1117.6,1451.3,1774.9,32.5,,,USD2022/kW
en_battery_4h,ieapg_european_union,2035,1028.7,1347.4,1717.7,30.0,,,USD2022/kW
en_battery_4h,ieapg_european_union,2040,939.8,1243.5,1660.5,27.5,,,USD2022/kW
en_battery_4h,ieapg_european_union,2045,850.9,1139.6,1603.3,25.0,,,USD2022/kW
en_battery_4h,ieapg_european_union,2050,762.0,1035.8,1546.1,22.5,,,USD2022/kW
en_battery_4h,ieapg_india,2022,2100.8,2100.8,2100.8,48.2,,,USD2022/kW
en_battery_4h,ieapg_india,2025,1390.7,1711.4,2159.9,38.8,,,USD2022/kW
