outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,16.813189875741006,20.2336818859661,23.649366430831414,108
cum_wind_twh,C2,20.314114480195947,25.713028382141573,42.95529307099672,108
cum_wind_twh,C3,25.613851674401136,32.12328531450599,55.671138485122896,108
cum_wind_twh,C4,35.6970742582305,59.898602156845634,89.44601627459525,108
cum_wind_twh,C7,-89.99999999999977,90.0,90.0,96
cum_wind_twh,POOL,20.844224969988296,31.360836721506246,70.22005978000749,528
cum_solar_twh,C1,-22.728562903929618,-18.81294148862829,-16.185338010299063,108
cum_solar_twh,C2,-25.064760664037017,-21.25703598215821,-17.155538500966905,108
cum_solar_twh,C3,-59.530216888735126,-44.64477684533768,-36.903109852661885,108
cum_solar_twh,C4,-66.66527606438439,-51.162000199071585,-9.475437996266141,108
cum_solar_twh,C7,-32.51832648876982,30.77036675276061,58.56834187804345,96
cum_solar_twh,POOL,-47.10324147227252,-23.8084675290244,-15.502116468145577,528
avg_elec_price,C1,-24.748166245682533,-20.87725221409076,-17.063774825886476,108
avg_elec_price,C2,-26.79464849924852,-21.90128404367779,-17.68862331521653,108
avg_elec_price,C3,-34.16931197085336,-26.89458329067738,-22.301474503907215,108
avg_elec_price,C4,-44.54271886190372,-30.100040469879275,-23.366955846951846,108
avg_elec_price,C7,-40.66046741553507,-28.74155387204687,-19.166328851686636,96
avg_elec_price,POOL,-32.03954304942974,-24.98780590033389,-19.358386821227892,528
nonvre_cf,C1,-17.353418253916622,-13.872124398694156,-11.08089882170132,108
nonvre_cf,C2,-34.9557268967874,-18.596924191885314,-13.618162707199977,108
nonvre_cf,C3,-39.73298406184641,-22.133871160484677,-14.493081759526476,108
nonvre_cf,C4,-60.48069182306862,-35.88507761882033,-22.236154364434952,108
nonvre_cf,C7,-74.31869679719887,-67.54873294273592,-59.70873608056881,96
nonvre_cf,POOL,-55.70680830695887,-24.976386561038808,-14.516376010612246,528
npv_cost_bn,C1,-8.450708507224638,-7.149421875318484,-4.705755583926149,108
npv_cost_bn,C2,-6.933409372345702,-3.499136120936117,5.439321635197491,108
npv_cost_bn,C3,-9.412777295562975,-2.626636005793148,13.590471258092279,108
npv_cost_bn,C4,-3.836570413853181,13.512247400291914,27.48489685650351,108
npv_cost_bn,C7,40.88896949549991,56.62792159640925,62.73737568221215,96
npv_cost_bn,POOL,-6.955428074009371,-0.5267262694874942,28.439404695053472,528
cum_emissions_mt,C1,-5.945199100458681,-3.870677563351517,-2.19253871147394,108
cum_emissions_mt,C2,-14.351507085384357,-5.97845092421039,-2.476192449506506,108
cum_emissions_mt,C3,-3.508696751873225,-2.1067159230745873,-1.453562762722352,108
cum_emissions_mt,C4,-5.346136074597398,-2.8729008793205355,-1.3580612232979639,108
cum_emissions_mt,C7,-66.0116628763659,-58.76538600800862,-44.16263114435079,96
cum_emissions_mt,POOL,-13.613351403124812,-4.405939614206927,-1.9480968768196134,528
