outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,10.057532315402444,12.557983444546984,16.383374404649828,108
cum_wind_twh,C2,9.213762244722137,15.269027310860611,23.072175275706773,108
cum_wind_twh,C3,14.593884061791897,25.825503035020432,35.026236054066764,108
cum_wind_twh,C4,23.255429338785383,38.599389365537405,54.514659553565366,108
cum_wind_twh,C7,88.99075689225846,89.83528389590691,90.0,96
cum_wind_twh,POOL,12.520726081477342,23.975205051263288,47.97792614878421,528
cum_solar_twh,C1,-6.08157744980261,-3.1774910051157494,1.165518259484147,108
cum_solar_twh,C2,-6.951253556538631,-3.7598380731515606,-0.6171722475845018,108
cum_solar_twh,C3,-15.325445624972257,-8.086050222945394,2.5321536913877765,108
cum_solar_twh,C4,-20.430223922469043,-12.87173751700421,0.665307038440294,108
cum_solar_twh,C7,11.819083033232031,34.02924347793651,50.14115441387156,96
cum_solar_twh,POOL,-10.907256415665216,-3.425599056587414,5.951179932118143,528
avg_elec_price,C1,-12.763532032566433,-9.432365728685607,-4.450420878605357,108
avg_elec_price,C2,-17.589999337892174,-13.08531441706251,-10.310069256683462,108
avg_elec_price,C3,-23.996362390120833,-20.934469770907377,-16.11305259377199,108
avg_elec_price,C4,-28.971545342664278,-22.79989855292944,-20.411650821646113,108
avg_elec_price,C7,-28.320844967809933,-11.822330256978306,-7.8922183660679455,96
avg_elec_price,POOL,-22.968768846869793,-16.378204209656534,-10.40435288432258,528
nonvre_cf,C1,-13.674254665336866,-9.226746098539632,-6.2387662647282385,108
nonvre_cf,C2,-14.762455976894973,-9.888557780779593,-7.398865905472116,108
nonvre_cf,C3,-19.38850103942176,-14.328900210758746,-8.273905533892407,108
nonvre_cf,C4,-29.219677620561257,-20.380284590380505,-13.709655749940218,108
nonvre_cf,C7,-79.31712184994231,-67.35594566206788,-46.55280624799376,96
nonvre_cf,POOL,-27.170217269739517,-14.875765946090095,-8.664430885825237,528
npv_cost_bn,C1,-14.096151745199805,-12.39844501647594,-10.583464844622593,108
npv_cost_bn,C2,-11.728942035146535,-8.044055100505476,-1.8910127186965107,108
npv_cost_bn,C3,-34.30635182057791,-19.391305903671743,3.0146720513925263,108
npv_cost_bn,C4,-18.0675509083363,3.4945314932136684,14.190000920722353,108
npv_cost_bn,C7,12.980012840124221,23.83481082154924,49.99354239140247,96
npv_cost_bn,POOL,-14.059133024950238,-8.337574033168124,11.508294316175856,528
cum_emissions_mt,C1,-0.8422575449402048,-0.6335030297758644,-0.32239957365970795,108
cum_emissions_mt,C2,-2.190190348300271,-0.7836085121069889,-0.5392717395484518,108
cum_emissions_mt,C3,-1.4841040424737282,-0.8839969165392223,-0.5198132877407431,108
cum_emissions_mt,C4,-2.1426969375274743,-1.327179425865305,-0.8145663580100769,108
cum_emissions_mt,C7,-56.07691160297645,-41.11226352488724,-29.89292187076676,96
cum_emissions_mt,POOL,-2.71412432647249,-1.0533903901280022,-0.5984503239241789,528
