outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,-3.2853241731394114,5.875218361620784,8.91344131600946,36
cum_wind_twh,C2,-11.030825157341752,-0.6501094658910604,5.295605445763526,36
cum_wind_twh,C3,-7.144020227131167,0.6404387685235,11.099584410785052,36
cum_wind_twh,C4,-27.394315529908987,-15.581308935419955,-2.894249976194488,36
cum_wind_twh,C7,-69.97471277032717,-38.39646159764209,-9.976388464836448,26
cum_wind_twh,POOL,-18.848005943999922,-2.885604452300136,5.94750526188722,170
cum_solar_twh,C1,37.290544872492774,50.04893947591792,54.05322818887486,36
cum_solar_twh,C2,22.464000529655657,25.404049464294793,32.183940599491415,36
cum_solar_twh,C3,12.78203663156177,28.962009338888617,52.25563518901188,36
cum_solar_twh,C4,9.316484557076882,38.84294330012048,68.5826852644625,36
cum_solar_twh,C7,-77.30667003945433,-65.28051887586409,-29.768422176484112,32
cum_solar_twh,POOL,12.044358831724542,28.277397863451174,50.17203080892171,176
avg_elec_price,C1,9.159548674030091,19.12623676258245,25.326950782431993,36
avg_elec_price,C2,10.049860499075603,17.62173681869067,25.900817177900567,36
avg_elec_price,C3,26.834444907058547,32.35562729161868,45.66382847200446,36
avg_elec_price,C4,33.486575863082166,40.22332296658027,55.45619064914562,36
avg_elec_price,C7,47.050632890426506,64.87945784851246,76.41542694118195,32
avg_elec_price,POOL,19.145612153078687,33.43947370452727,49.01566178879871,176
nonvre_cf,C1,-55.041360274964305,-49.253290809657194,-46.1720465501737,36
nonvre_cf,C2,-35.33007537581448,-33.447853984129125,-31.63124917262969,36
nonvre_cf,C3,-50.033193600696535,-41.88598404995615,-36.78238833543957,36
nonvre_cf,C4,-53.382499385498555,-47.309052482222384,-36.027522052158034,36
nonvre_cf,C7,-86.90952062081188,-84.4866756757575,-80.74020226766643,32
nonvre_cf,POOL,-55.86926548983358,-46.270279406936936,-35.221884390268514,176
npv_cost_bn,C1,30.58581289419451,39.28995826123061,50.332618841519306,36
npv_cost_bn,C2,28.39229534792791,36.23004189977461,46.872004165778726,36
npv_cost_bn,C3,59.18025837717128,64.36875557701585,71.61190317391254,36
npv_cost_bn,C4,30.867167696537646,39.5266617623958,45.28501381689838,36
npv_cost_bn,C7,28.75227439799258,54.44952213100542,84.52258114668037,32
npv_cost_bn,POOL,31.92333520903071,45.73719850137948,59.17114573114476,176
cum_emissions_mt,C1,0.42829080145229054,0.5414184449071024,0.8323054430327761,36
cum_emissions_mt,C2,0.7406216630352935,1.1387767235734938,3.4369216741663275,36
cum_emissions_mt,C3,0.9192414726952276,1.7494572537483246,4.17061525586544,36
cum_emissions_mt,C4,2.806140032911675,3.829700844121926,4.813569810287349,36
cum_emissions_mt,C7,25.015131764399108,45.88371069583317,66.09250770874321,32
cum_emissions_mt,POOL,0.81204871142889,2.7031554872425847,5.058805259840718,176
