outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,5.266621903253311,6.892083694870579,10.356517746999065,108
cum_wind_twh,C2,8.949263913548513,11.950986710379063,17.075904730371377,108
cum_wind_twh,C3,3.9816854857798516,5.842918832660666,9.255748519223467,108
cum_wind_twh,C4,7.245316384340724,10.337725257010478,19.77034916187933,108
cum_wind_twh,C7,37.36781878211541,57.80021429603691,73.35784497041051,96
cum_wind_twh,POOL,6.08688944250354,10.59284860372877,20.422964914329697,528
cum_solar_twh,C1,-59.5441107242267,-40.74170846370377,-30.733183637484117,108
cum_solar_twh,C2,-70.10837450824374,-44.38901724441192,-31.58524623300199,108
cum_solar_twh,C3,-45.316981447791086,-27.4319649320348,-21.31222070281898,108
cum_solar_twh,C4,-55.87270574989597,-36.73197466765146,-29.266145489861955,108
cum_solar_twh,C7,-67.68615881103472,-45.599768693535125,-24.195653116352354,96
cum_solar_twh,POOL,-59.2771760898278,-38.73580098674422,-27.85910053568678,528
avg_elec_price,C1,-56.19084639697862,-31.573895878889473,-28.161935526348763,108
avg_elec_price,C2,-65.71354678476227,-34.797794081302115,-30.587324201347755,108
avg_elec_price,C3,-52.12387731509377,-28.55247936497008,-22.230119803428792,108
avg_elec_price,C4,-56.93800929194052,-34.60946089276488,-25.256002475186726,108
avg_elec_price,C7,-45.59709877983585,-37.28319710890216,-29.816172848803518,96
avg_elec_price,POOL,-56.794016549589294,-33.74673289191513,-25.577895731131953,528
nonvre_cf,C1,-7.0889308516294705,-4.984970060454013,-3.621777561471067,108
nonvre_cf,C2,-9.707868635496958,-7.005688875911272,-4.656425187414381,108
nonvre_cf,C3,-8.17917882376904,-5.199366153639773,-2.672638494973535,108
nonvre_cf,C4,-20.865133112939994,-11.230559664246464,-6.960418722804805,108
nonvre_cf,C7,-58.101970428417786,-38.49854053355237,-22.463783665737893,96
nonvre_cf,POOL,-16.945743034448046,-7.83049204900853,-4.486833237795713,528
npv_cost_bn,C1,-6.693288194648726,-5.637108712200414,-3.7979899572718265,108
npv_cost_bn,C2,-8.724449561621633,-4.727546292701886,2.1034715648582822,108
npv_cost_bn,C3,-4.725043884915544,-2.9496974701638354,-1.0228516120982367,108
npv_cost_bn,C4,-5.391488832398343,-0.026400965240875818,8.28856019163737,108
npv_cost_bn,C7,4.688436153444979,24.114332498838735,57.6019422501834,96
npv_cost_bn,POOL,-5.97773330841802,-2.666416078433363,5.2386230550636235,528
cum_emissions_mt,C1,-0.35979276018945966,-0.16977841138915234,0.011865122554945177,108
cum_emissions_mt,C2,-3.2636816372634723,-1.6812885219943343,-0.791944802958277,108
cum_emissions_mt,C3,-4.55731832362082,-2.152443739772549,-0.9142461226741999,108
cum_emissions_mt,C4,-11.389881852107079,-4.423329638741661,-1.025643033698282,108
cum_emissions_mt,C7,-58.84476725385466,-38.49409468442814,-16.514035009694783,96
cum_emissions_mt,POOL,-9.917870164205679,-2.132282280012233,-0.4464213912883836,528
