outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,10.402318932171461,12.946520144972267,16.347720208777364,36
cum_wind_twh,C2,11.203523288753638,14.701934790913882,17.801634470898506,36
cum_wind_twh,C3,3.890497693127294,4.918341071135725,6.106437114175697,36
cum_wind_twh,C4,4.151741273295719,5.5666423715885145,8.387140784418612,36
cum_wind_twh,C7,17.708320936578303,25.280741279544316,50.60659830077171,32
cum_wind_twh,POOL,5.965377042364877,10.961570804055619,16.888922454153494,176
cum_solar_twh,C1,-66.07068086063728,-54.7141130848337,-43.53051975976939,36
cum_solar_twh,C2,-74.17893096474138,-53.05829770460012,-39.42494489800681,36
cum_solar_twh,C3,-71.70947435805084,-30.218736303948326,-23.35074137132249,36
cum_solar_twh,C4,-47.883092562220504,-35.663884576191954,-28.377371700775136,36
cum_solar_twh,C7,-71.84758385287934,-59.57379353873014,-54.31551125887883,32
cum_solar_twh,POOL,-66.48745215108349,-50.389280998156536,-33.66067298189045,176
avg_elec_price,C1,21.637322714376296,31.198231017304344,58.475724780749886,36
avg_elec_price,C2,17.875758502322054,31.85804389983464,49.60531097695177,36
avg_elec_price,C3,16.996033968373084,28.648402005067673,59.23539750293368,36
avg_elec_price,C4,15.970344683739285,26.60308619941432,49.71383539846741,36
avg_elec_price,C7,27.821482433054662,44.00168344587043,62.3404466789389,32
avg_elec_price,POOL,19.41615426213842,33.13287566663968,58.222696541247274,176
nonvre_cf,C1,-39.62715505828156,-34.04063638327631,-29.39134606436902,36
nonvre_cf,C2,-33.877325228012786,-32.198712029826254,-29.507487551780244,36
nonvre_cf,C3,-22.450434863397113,-17.649972461762772,-13.587695873277688,36
nonvre_cf,C4,-38.325739219809456,-25.26855410486872,-18.49437677597072,36
nonvre_cf,C7,-76.10302218722433,-68.34366808846468,-37.38700792541911,32
nonvre_cf,POOL,-39.04549429039095,-30.61358322962446,-22.782767638699752,176
npv_cost_bn,C1,10.595706410761686,12.55803075611145,14.773130363927608,36
npv_cost_bn,C2,22.27365328200814,24.890045908631144,29.469812161672884,36
npv_cost_bn,C3,6.5664446304308335,8.735512823214679,9.736339576036944,36
npv_cost_bn,C4,9.414859840121752,11.745919666066893,18.59327079075234,36
npv_cost_bn,C7,30.698929294050245,60.588093026833036,79.94275938316413,32
npv_cost_bn,POOL,9.918395292182023,15.502675064757995,26.532378809156693,176
cum_emissions_mt,C1,-0.03367159518143696,0.43214839211753825,0.8668668763456474,36
cum_emissions_mt,C2,0.29245245786236473,1.0499235027171603,2.3292492408982746,36
cum_emissions_mt,C3,1.05341378930535,2.211870615229065,2.9605266964300565,36
cum_emissions_mt,C4,0.494138356966296,1.3613336189766723,2.0363482211029478,36
cum_emissions_mt,C7,11.07198787094763,18.923246591329498,48.55846457929459,32
cum_emissions_mt,POOL,0.45122704902406524,1.3613336189766723,3.257116572850346,176
