outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,-20.49677423544977,-16.55812636025251,-12.44702264531878,36
cum_wind_twh,C2,-22.118390655545376,-16.90067812207873,-12.139867675938874,36
cum_wind_twh,C3,-28.17468214307808,-19.328355746119087,-12.486247370462204,36
cum_wind_twh,C4,-36.0704720169589,-21.093664666542306,-13.901674964328622,35
cum_wind_twh,C7,-22.96392520562181,-2.6309532006098566,0.29715078693182045,30
cum_wind_twh,POOL,-23.799584192425744,-17.064065114496216,-11.008488668531822,173
cum_solar_twh,C1,21.997633649312892,27.02581209036896,31.626385328863186,36
cum_solar_twh,C2,21.544836441824046,25.576162990675776,33.77651571283509,36
cum_solar_twh,C3,29.031401689312776,37.37483618335399,49.41767282256852,36
cum_solar_twh,C4,10.909219699586803,32.512642206783994,62.90056811696075,36
cum_solar_twh,C7,-39.78410089654089,21.446871633329472,33.463103015917085,32
cum_solar_twh,POOL,19.34436960523506,28.32571143717316,40.05948237566569,176
npv_cost_bn,C1,7.239594867342182,12.40500715918471,17.56450420183102,36
npv_cost_bn,C2,7.765058341117252,14.498883032655772,21.191886398855047,36
npv_cost_bn,C3,9.526650527908892,21.813580588223424,33.08749862418863,36
npv_cost_bn,C4,19.515100929778,25.86119175172516,50.24111211498017,36
npv_cost_bn,C7,41.559538234149194,59.83541669685472,79.05471117154951,32
npv_cost_bn,POOL,10.95942755011034,20.56257876718955,41.098365052360236,176
cum_emissions_mt,C1,0.1636709497932936,0.5986665129430524,1.146472626190564,36
cum_emissions_mt,C2,0.3938366007123083,0.7043712151414905,2.6306913701008425,36
cum_emissions_mt,C3,0.4598124976401996,0.8151014613325002,2.150470799010707,36
cum_emissions_mt,C4,1.3834370142947177,2.9867233350312894,3.6095387759345323,36
cum_emissions_mt,C7,-3.2328109150423945,10.466209691796141,27.322616589467074,32
cum_emissions_mt,POOL,0.3938366007123083,1.1069343772855063,3.5852400160348425,176
