outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,22.257788953499738,28.973386374651334,67.23794169434439,108
cum_wind_twh,C2,24.290129887843005,33.24071367172061,39.06123165251289,108
cum_wind_twh,C3,22.41718752552757,29.860301542689555,48.29611296846775,108
cum_wind_twh,C4,11.737380227470833,18.513303102892564,35.17840749027732,108
cum_wind_twh,C7,37.12808810120297,63.22558447270531,75.66902101929789,96
cum_wind_twh,POOL,21.273216672277727,31.81870423596182,56.587704454319194,528
cum_solar_twh,C1,-34.814531207709415,-31.114171134366757,-27.764531188101426,108
cum_solar_twh,C2,-44.65204077326672,-39.01491722558308,-34.36200179066084,108
cum_solar_twh,C3,-50.65718923994763,-38.25168532800729,-32.87377715998457,108
cum_solar_twh,C4,-71.99239911026584,-53.43929659777003,-35.25184307569616,108
cum_solar_twh,C7,-78.1031869417829,-68.18503873740184,-57.81718673735665,96
cum_solar_twh,POOL,-59.88664475567572,-39.76683737251311,-32.2682349800984,528
avg_elec_price,C1,-71.43515606208136,-43.57732853423657,-31.281350874189563,108
avg_elec_price,C2,-75.23499862528024,-56.46616482100356,-41.89581258452844,108
avg_elec_price,C3,-75.11086485586196,-51.206453781863864,-37.29381215679129,108
avg_elec_price,C4,-79.39510327884749,-62.26563630460269,-51.334987433560954,108
avg_elec_price,C7,-74.59693826156446,-64.91324135822097,-56.36120296546441,96
avg_elec_price,POOL,-75.31869557180431,-58.03941086768539,-43.58894197847005,528
nonvre_cf,C1,-35.80166415823745,-20.173738179285195,-12.747186392336307,108
nonvre_cf,C2,-69.93035294832612,-32.47528742243941,-16.715601533380696,108
nonvre_cf,C3,-27.24054621837014,-17.652832474413493,-12.916577331712148,108
nonvre_cf,C4,-72.94571512491052,-29.59089129666046,-11.836638167022697,108
nonvre_cf,C7,-73.0942267719038,-59.73002548253873,-33.47567123331744,96
nonvre_cf,POOL,-57.31017002260958,-27.60303097418027,-14.582271720400708,528
npv_cost_bn,C1,-33.49302168473831,-23.23228404384725,-13.799091680731772,108
npv_cost_bn,C2,-52.88499125113226,-41.59314759187269,-34.58029047794291,108
npv_cost_bn,C3,-74.87470007893042,-39.41973506027618,-18.497771538137954,108
npv_cost_bn,C4,-59.233837767313666,-22.067329289048658,-16.00323008705687,108
npv_cost_bn,C7,-77.8078944834032,-42.77558521434382,50.262321233161174,96
npv_cost_bn,POOL,-60.852815626612795,-31.90798225921254,-17.259970612375895,528
cum_emissions_mt,C1,-25.427009425894962,-1.769831675270126,-0.6045658751367379,108
cum_emissions_mt,C2,-13.899518367032282,-4.268536905669577,-0.959568837044178,108
cum_emissions_mt,C3,-4.541207917110113,-2.858059749730571,-1.0114285108406316,108
cum_emissions_mt,C4,-8.607307604662534,-1.7403761327791891,-0.6347311370023729,108
cum_emissions_mt,C7,-68.41285696782408,-54.36007400718114,-23.448642198605988,96
cum_emissions_mt,POOL,-26.493712822257777,-4.520569003192804,-0.9922546249988415,528
