outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,4.714259809880863,19.464253184857796,30.85440584543045,36
cum_wind_twh,C2,9.255200781693667,40.618945949688566,56.67154541347964,36
cum_wind_twh,C3,3.9165231686489905,29.183969784178693,41.23068303424509,36
cum_wind_twh,C4,11.88670970535776,20.22611633507877,25.473523227438434,36
cum_wind_twh,C7,32.675402678044975,56.93076082799897,73.44881802572009,32
cum_wind_twh,POOL,6.629201712237174,26.387545407195084,46.448278111959915,176
cum_solar_twh,C1,-32.2200673473435,14.613388944426001,40.9622795867626,36
cum_solar_twh,C2,-49.03583876510977,-16.593987809317724,33.147884723344475,36
cum_solar_twh,C3,-51.57627534200932,-4.723876549953452,60.96263756565968,36
cum_solar_twh,C4,-65.00224447949716,-34.784411339000954,-10.561523330544805,36
cum_solar_twh,C7,-88.21269677476606,-85.45788705312913,-79.00386413243385,32
cum_solar_twh,POOL,-64.82896157857604,-29.58544276659294,15.591406741390106,176
avg_elec_price,C1,40.34530731353198,50.710802423764434,73.18155158864435,36
avg_elec_price,C2,46.54579009164209,57.9025734751994,71.05920492843745,36
avg_elec_price,C3,35.499987644353155,53.39411376863541,69.53031978799869,36
avg_elec_price,C4,48.905964975941,58.52105780486771,74.73112176129794,36
avg_elec_price,C7,40.90317811015273,57.93022765311082,64.65981876489349,32
avg_elec_price,POOL,41.71071771430926,56.61464136416448,70.85508560054183,176
nonvre_cf,C1,-75.25184140924488,-68.69121835911199,-54.445742601970906,36
nonvre_cf,C2,-81.71555904127281,-76.89844502134454,-62.65003521100145,36
nonvre_cf,C3,-80.34313285191732,-70.7087154728269,-46.04510065467429,36
nonvre_cf,C4,-74.3640550626786,-60.82173848951991,-49.15482430383173,36
nonvre_cf,C7,-74.10687941673383,-68.69546502759184,-50.15468912450412,32
nonvre_cf,POOL,-78.88393997065458,-69.26676676191711,-51.79661156641829,176
npv_cost_bn,C1,20.27784315977908,25.486627972388217,34.19245093934043,36
npv_cost_bn,C2,38.336593994206275,44.089328551365,55.03225114806701,36
npv_cost_bn,C3,33.4957650639094,68.26223731983887,79.6248959485819,36
npv_cost_bn,C4,14.357726416006082,17.835345476289177,26.878017090360203,36
npv_cost_bn,C7,49.99899063140418,72.8212955738189,81.55368101987841,32
npv_cost_bn,POOL,22.260794395370972,39.139410582062695,68.85705932794112,176
cum_emissions_mt,C1,-24.61559635967508,0.1829571623242328,11.519816349421307,36
cum_emissions_mt,C2,3.1860901734393963,9.702396554267864,34.25832403352504,36
cum_emissions_mt,C3,4.011625079578189,8.325516623357814,15.822200594663123,36
cum_emissions_mt,C4,4.08160026068734,8.009259743708148,20.8549795625872,36
cum_emissions_mt,C7,36.86351469322231,56.00278435405609,70.02188490121773,32
cum_emissions_mt,POOL,2.980043945614715,11.384824430521288,28.589573040706842,176
