outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,17.824756642630753,27.023369359698265,46.722729353018565,108
cum_wind_twh,C2,-89.99999999999996,17.257873663455406,40.02113486915844,108
cum_wind_twh,C3,-89.99999999999996,13.15798322952216,22.966721433966732,108
cum_wind_twh,C4,-89.99999999999996,4.784364375748682,17.171236975380605,108
cum_wind_twh,C7,-90.0,-30.555569911527225,89.48900462167722,96
cum_wind_twh,POOL,-89.99999999999996,16.602048591583504,44.78049019215732,528
cum_solar_twh,C1,-2.8555687067432918,-1.6713168790876671,-0.6530589143700853,108
cum_solar_twh,C2,-2.335844855178113,-0.5901510296185397,2.5497459517937173,108
cum_solar_twh,C3,-0.5966112481318105,1.366301031490904,5.071633761942968,108
cum_solar_twh,C4,1.3103390819846998,4.519527270425708,11.388449474364073,108
cum_solar_twh,C7,5.875388034184389,11.994439054050101,24.592178432863733,96
cum_solar_twh,POOL,-1.5700085001679083,1.5300233875787994,7.408312590064316,528
avg_elec_price,C1,-8.129191318726145,-6.029631500410072,-4.241658917691389,108
avg_elec_price,C2,-8.287256000106908,-6.5787229973546335,-4.752293121537591,108
avg_elec_price,C3,-7.996419129975423,-5.855064099438988,-3.6383855628888497,108
avg_elec_price,C4,-18.141331740647633,-8.855108151994726,-6.781613334452048,108
avg_elec_price,C7,-23.725568993845243,-11.982312024592899,-6.388410116256023,96
avg_elec_price,POOL,-11.512363877696703,-7.098687564532881,-4.797780881749843,528
nonvre_cf,C1,-52.49562145419339,-19.65649219218615,-12.822596726265852,108
nonvre_cf,C2,-37.01347962864653,-14.66245220719354,-5.193475033045976,108
nonvre_cf,C3,-28.814041169209197,-13.222489073311671,-5.757148455529073,108
nonvre_cf,C4,-17.10913887050821,-6.867733148108775,-3.659121091705054,108
nonvre_cf,C7,-36.67604104854783,-18.726145327271066,-11.938678663284353,96
nonvre_cf,POOL,-31.383450298563474,-14.97168943557292,-6.186421580732631,528
npv_cost_bn,C1,-2.9682783398795127,-1.6393820246299016,0.7300132579723548,108
npv_cost_bn,C2,-10.579126144135461,-5.271627271060035,-3.232402787051993,108
npv_cost_bn,C3,-8.122900098032835,-3.921575151709373,-0.6885795017153821,108
npv_cost_bn,C4,-8.029582496500606,-2.719600767379089,-1.6506344055449693,108
npv_cost_bn,C7,-45.76728221541623,-29.299297104351627,-9.184077432935787,96
npv_cost_bn,POOL,-11.381523445252492,-4.017693856570993,-1.5595528435931014,528
cum_emissions_mt,C1,-7.157996301895289,-4.89408368366046,-3.3381444797553375,108
cum_emissions_mt,C2,-6.685410242194845,-3.5996466037620998,-1.2014449720162748,108
cum_emissions_mt,C3,-8.900473041059541,-3.8044702606917236,-1.0834095872992124,108
cum_emissions_mt,C4,-3.5700922277222147,-2.4075086420588203,-1.033963517833371,108
cum_emissions_mt,C7,-23.962577762370273,-12.270303052184666,-7.398522303151625,96
cum_emissions_mt,POOL,-9.166302274297852,-4.355936276788711,-1.7714850013358072,528
