outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,-3.35820185368475,2.071202089917107,4.778484953257228,36
cum_wind_twh,C2,-7.444542853143132,3.6758998683179014,36.584491936037324,35
cum_wind_twh,C3,-32.50842659286867,0.0,1.6306140479739395,35
cum_wind_twh,C4,-1.5511921311178805,1.7853319539656085,24.788261682988622,36
cum_wind_twh,C7,6.974493732412063e-12,45.00000000000895,87.96747441146101,30
cum_wind_twh,POOL,-4.607585733454635,1.8164889572811855,24.95179042358857,172
cum_solar_twh,C1,3.6071716905806928,10.942091465378466,14.18826199882542,36
cum_solar_twh,C2,7.387036509451782,10.43694738598352,12.798079781905372,36
cum_solar_twh,C3,8.31692499936696,12.00267676605683,19.713027229164968,36
cum_solar_twh,C4,-5.392771987792056,-1.0331746952920469,4.304859837110244,36
cum_solar_twh,C7,-79.46910777012687,-62.71056352142116,-38.68757604236596,32
cum_solar_twh,POOL,-6.255942687588247,7.496019199432193,12.878590566468574,176
avg_elec_price,C1,3.666499280815336,6.273021862969004,16.59352989419966,36
avg_elec_price,C2,6.721373384836772,9.566033288906468,12.919575845869858,36
avg_elec_price,C3,3.7221559131254285,7.4758891393267355,10.907150054124157,36
avg_elec_price,C4,13.411777220296035,20.471747406208323,35.783961276441055,36
avg_elec_price,C7,35.20821520631333,51.06300292108749,72.22092193709835,32
avg_elec_price,POOL,6.585931134921206,12.325804002650248,27.42433628917678,176
nonvre_cf,C1,-81.74836177127565,-66.87265658754433,-56.74810300719713,36
nonvre_cf,C2,-72.16528422658045,-56.50767591371702,-50.03386768961124,36
nonvre_cf,C3,-74.64509816654314,-63.76952725602425,-47.952422285304046,36
nonvre_cf,C4,-41.54111639408037,-29.542627755831095,-21.38719117089007,36
nonvre_cf,C7,-84.30656343676606,-66.39333615674835,-33.847446180533034,32
nonvre_cf,POOL,-74.39307222683023,-55.55151550685261,-41.383905903016384,176
npv_cost_bn,C1,11.072769560305895,12.71150082912644,20.60658181718457,36
npv_cost_bn,C2,14.604641693382813,17.892263216438188,25.193753973342254,36
npv_cost_bn,C3,14.288451250635656,20.90123213336973,29.43920832181653,36
npv_cost_bn,C4,2.1643420626190344,5.422561370445816,25.835064514501326,36
npv_cost_bn,C7,1.8429455633259657,21.14772923048134,31.173483988367025,32
npv_cost_bn,POOL,10.120966572399741,16.43675594706782,24.9201874277907,176
cum_emissions_mt,C1,0.9993134753496332,1.90849342615729,5.222348272480907,36
cum_emissions_mt,C2,1.9394947524886128,3.2890970062297384,8.120669765741749,36
cum_emissions_mt,C3,0.8808890968601071,2.3672835002893033,3.5902794661622988,36
cum_emissions_mt,C4,0.2071056453258388,1.5153802243529129,2.62689392903264,36
cum_emissions_mt,C7,48.20757378030712,68.73090569108103,76.97820847750197,32
cum_emissions_mt,POOL,1.2115297002572127,2.8428425221357796,9.263451699825586,176
