outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,4.705917720496292,8.261480239425907,17.03748156905464,108
cum_wind_twh,C2,6.506129940303435,8.621445861410745,10.786927030746636,108
cum_wind_twh,C3,3.819981380681453,8.99694925373993,17.949161237466434,108
cum_wind_twh,C4,8.040601112620084,11.474799739886897,15.4893003024265,108
cum_wind_twh,C7,22.83371608177865,53.44821114929641,62.904339624662796,96
cum_wind_twh,POOL,5.734169391927919,11.608011454685538,18.246448445015226,528
cum_solar_twh,C1,-16.966206860947036,-13.210867210579455,-7.2339072285726935,108
cum_solar_twh,C2,-12.518522880776551,-8.929609270708875,-2.294431579460825,108
cum_solar_twh,C3,-13.395530506347692,-8.593564073796278,-2.200999568681217,108
cum_solar_twh,C4,-11.552177074317306,-8.454134091329468,-3.0450356753195607,108
cum_solar_twh,C7,-58.053147261221,-48.46728406014715,4.435631988682344,96
cum_solar_twh,POOL,-15.760917765730964,-10.02281424513221,-3.824127676875869,528
npv_cost_bn,C1,-19.845733103394334,-18.24723750541839,-16.95313616916342,108
npv_cost_bn,C2,-52.98946148957314,-45.25426160571695,-39.506703511811146,108
npv_cost_bn,C3,-19.379167234516643,-18.015109166558204,-17.077574827949434,108
npv_cost_bn,C4,-53.673597852343434,-41.536512651698025,-32.64540144028986,108
npv_cost_bn,C7,-41.00667292492937,-11.824458764939495,34.507529688725626,96
npv_cost_bn,POOL,-42.6795550052178,-24.251914925604517,-17.539590508701743,528
cum_emissions_mt,C1,-0.5408809545373825,-0.39349557797740675,-0.17612873636818213,108
cum_emissions_mt,C2,-1.498092031726631,-0.718962901548012,-0.5230745223779406,108
cum_emissions_mt,C3,-2.0686960209291563,-1.2278453644159653,-0.5652481058402995,108
cum_emissions_mt,C4,-2.6038682072346444,-1.5889741562539421,-0.8767901816300236,108
cum_emissions_mt,C7,-67.15679373237472,-57.74734510041304,-26.61329054498816,96
cum_emissions_mt,POOL,-2.9220947155735963,-1.108500429540652,-0.5076126846956655,528
