outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,27.835107918614362,45.333067406596506,82.86503617759718,108
cum_wind_twh,C2,25.433394760849712,41.502857280663704,64.40183980666608,108
cum_wind_twh,C3,24.82987074217418,33.70099704375104,82.54257455326967,108
cum_wind_twh,C4,31.95512046240322,40.53712240993884,80.95033481096999,108
cum_wind_twh,C7,81.84708697224306,89.65335568079954,90.0,96
cum_wind_twh,POOL,29.07115563811257,55.97905783206954,87.57118166090753,528
cum_solar_twh,C1,-39.95913956051774,-21.70038374205203,-5.222395738108817,108
cum_solar_twh,C2,-40.468687378264576,-19.895255458736955,0.385755315689228,108
cum_solar_twh,C3,-35.20297044711789,-6.526984192842787,2.04645071186787,108
cum_solar_twh,C4,-42.37463846724152,-16.463363559441397,-7.298213115829613,108
cum_solar_twh,C7,-89.99999999999461,1.2614016839526565,89.9999999999973,96
cum_solar_twh,POOL,-39.04480972982678,-15.550848689580151,2.5673476207124337,528
avg_elec_price,C1,-15.279170381682444,-8.115059025505202,-6.209114707869968,108
avg_elec_price,C2,-20.19177366821948,-12.407515930290812,-7.512532962729161,108
avg_elec_price,C3,-15.676292776206605,-7.282260667575677,-6.095763507499435,108
avg_elec_price,C4,-15.3972839966434,-10.787740238542765,-7.856293178669469,108
avg_elec_price,C7,-16.44040518373042,-8.421097337151048,-0.803218590520743,96
avg_elec_price,POOL,-16.364345473398217,-9.476255679837548,-6.327549534544253,528
npv_cost_bn,C1,2.5534100719193873,20.13385527130295,38.49551305212917,108
npv_cost_bn,C2,5.140096975910302,21.220287576555208,48.5618091493845,108
npv_cost_bn,C3,4.978728231064624,13.02666542024399,52.52775635018741,108
npv_cost_bn,C4,2.651086689936157,15.249031174792208,59.224932302677075,108
npv_cost_bn,C7,-2.3039256858756363,5.975622818615739,28.975431917214756,96
npv_cost_bn,POOL,2.7555626917593545,12.572733156999337,40.61513868914376,528
cum_emissions_mt,C1,-17.141909275440465,-6.936684293362641,-2.6739156520244043,108
cum_emissions_mt,C2,-10.523654857096375,-3.876531417577594,-2.376709355549574,108
cum_emissions_mt,C3,-29.383168267690504,-6.2028623301050185,-4.3375092698076205,108
cum_emissions_mt,C4,-1.511291686669661,-0.6247324010509445,0.7062295410547894,108
cum_emissions_mt,C7,-63.92681194480998,-51.778445972982055,-12.70106231165165,96
cum_emissions_mt,POOL,-20.576075396094847,-5.313726350623835,-2.0949351451349694,528
