outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,-4.715139893640457,-0.2661523325623336,2.420430910081814,36
cum_wind_twh,C2,-11.614377280290402,-1.0994206112033895,0.9950301557924446,36
cum_wind_twh,C3,-10.168537770552664,-2.4606919656628343,0.7147174389445288,36
cum_wind_twh,C4,-16.799291608100628,-3.492614697221055,-1.2122209436417377,36
cum_wind_twh,C7,-68.19859051364818,-21.776629307217345,-4.025720196849567,32
cum_wind_twh,POOL,-16.699266123631507,-2.6019301085978475,0.964903665664069,176
cum_solar_twh,C1,-21.840778160760593,-5.462773310522308,20.4705299949888,36
cum_solar_twh,C2,-22.363292082090204,-12.582617275772215,-3.901378934884219,36
cum_solar_twh,C3,-21.726309223579264,-12.337471675671381,0.5380258783098977,36
cum_solar_twh,C4,-40.317904399079595,-15.677282065345636,-9.282429458758411,35
cum_solar_twh,C7,-45.0,-32.29055457302198,63.43494882292201,25
cum_solar_twh,POOL,-27.484552612738852,-13.61149799364204,0.7432357353572905,168
avg_elec_price,C1,7.900682131156508,11.6056099416882,15.445292048646078,36
avg_elec_price,C2,8.346268613722204,10.682738818966016,13.026504282468174,36
avg_elec_price,C3,8.049604327527462,10.116980014485723,12.109295505782802,36
avg_elec_price,C4,8.260439540496495,10.672322331803628,13.699920663433721,36
avg_elec_price,C7,19.827481172266186,23.23144148146091,53.26315795264412,32
avg_elec_price,POOL,8.677612698886614,11.833889643816388,17.99399947747286,176
nonvre_cf,C1,-72.25742115743529,-62.31813006465449,-35.055264814277244,36
nonvre_cf,C2,-58.82284378790941,-43.60032654296127,-32.582192521721446,36
nonvre_cf,C3,-79.41262932952037,-51.70674089297934,-26.157057780462296,36
nonvre_cf,C4,-77.70043338057108,-66.03227352075815,-51.11798270168073,36
nonvre_cf,C7,-88.30124286431811,-87.86649439203731,-82.16958949071977,32
nonvre_cf,POOL,-81.20224859302336,-65.90197019207856,-40.3887606698027,176
npv_cost_bn,C1,6.790610869330292,10.451652428023436,15.50130208106758,36
npv_cost_bn,C2,2.6894472296758622,4.849632955739484,8.780139044920816,36
npv_cost_bn,C3,1.49927673737477,5.704558745251395,8.862411317494573,36
npv_cost_bn,C4,1.5894116710023174,6.996179344658553,14.70928838007289,36
npv_cost_bn,C7,14.601506002572927,41.87090946975381,76.11258343550152,32
npv_cost_bn,POOL,4.533805052741666,8.77522145488108,15.47415127312852,176
cum_emissions_mt,C1,-0.14731102357583042,0.2788490523343994,1.4673783868862018,36
cum_emissions_mt,C2,0.4386074001473956,0.8345312622331267,2.0150110967075623,36
cum_emissions_mt,C3,0.8092505789776652,2.4348902551740563,3.3515519397729427,36
cum_emissions_mt,C4,0.7932192880233153,1.685292459078752,3.120049017753632,36
cum_emissions_mt,C7,-6.29749369230167,-3.7647068291771095,2.1122429245893866,32
cum_emissions_mt,POOL,0.11555511144613721,0.9509187824515635,2.4965403672600943,176
