outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,3.2624598464258043,5.912438189991249,8.841444545246791,36
cum_wind_twh,C2,2.2529916435077495,4.233625546579732,6.302887848938406,36
cum_wind_twh,C3,-5.413476879242715e-14,1.4931432793101944,4.029520777916126,36
cum_wind_twh,C4,-8.728956682207365,0.8208900499887546,3.7253785970734414,36
cum_wind_twh,C7,-25.513129942107955,-6.58404354006718e-15,0.0,32
cum_wind_twh,POOL,0.0,2.50942623877212,5.9901743248142445,176
cum_solar_twh,C1,-24.848135438172122,-22.5487295784093,-18.432439061609347,36
cum_solar_twh,C2,-39.47678053929189,-33.23483716951111,-29.518445629708225,36
cum_solar_twh,C3,-30.43745856109466,-21.250769022490196,-18.43944416037221,36
cum_solar_twh,C4,-41.08235497479804,-34.07968632826841,-28.290185462663565,35
cum_solar_twh,C7,-66.26264657413833,-49.29535318313446,-27.3875681194872,27
cum_solar_twh,POOL,-39.499012823059275,-29.226550150466302,-21.206521907316056,170
avg_elec_price,C1,12.078119261991862,17.281042526594376,26.29564411636052,36
avg_elec_price,C2,9.811314090950777,18.946026738141757,27.48082780262209,36
avg_elec_price,C3,13.202486025378622,23.43190449024753,30.128051536096642,36
avg_elec_price,C4,14.942836160221022,29.734131658592062,47.769812932390366,36
avg_elec_price,C7,11.138965502699875,18.58792726188983,60.2119300122622,32
avg_elec_price,POOL,11.67953402107743,20.76503215497126,33.979570830127216,176
nonvre_cf,C1,-17.286444662853416,-15.699045156327571,-13.963338433688758,36
nonvre_cf,C2,-22.890642024117795,-15.675566329951474,-13.967920600979024,36
nonvre_cf,C3,-22.91568513552368,-16.12448115886974,-12.475613366026646,36
nonvre_cf,C4,-54.8010912828852,-42.59046074698984,-26.697925156561556,36
nonvre_cf,C7,-68.89370012843743,-53.39816441379167,-32.04084540044214,32
nonvre_cf,POOL,-39.74012715478704,-19.750112793411162,-15.197681946713756,176
npv_cost_bn,C1,3.9461458499954625,4.995971891541819,6.676611858257024,36
npv_cost_bn,C2,9.330854738864614,15.102371696127106,17.55224811989657,36
npv_cost_bn,C3,5.1443391514979515,8.882106860322768,11.32458554655122,36
npv_cost_bn,C4,10.496966117529434,16.704462651482352,49.10384659134933,36
npv_cost_bn,C7,5.002172369618259,13.923701683209078,32.93403085731013,32
npv_cost_bn,POOL,5.376211874594704,10.367210637507235,17.13977350501927,176
cum_emissions_mt,C1,0.3719407746195575,0.9195084027420715,1.70128118845728,36
cum_emissions_mt,C2,0.00025272647353227415,0.14297554420249153,0.6339706699775441,36
cum_emissions_mt,C3,0.2873092191015825,1.3016910704343485,3.945273629632691,36
cum_emissions_mt,C4,-2.4518142532347955,-0.274707127470202,0.8682381747858438,36
cum_emissions_mt,C7,15.39852609461362,26.32651887700562,51.79053363546271,32
cum_emissions_mt,POOL,0.05122944643097314,0.9460715324393966,4.638389492743814,176
