outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,45.62457017245412,64.52560473043063,86.0623246983368,108
cum_wind_twh,C2,65.21570982028905,85.46024706953969,90.0,108
cum_wind_twh,C3,72.22737102087687,88.48773800793765,89.99999999999999,108
cum_wind_twh,C4,89.41516713519358,89.99999999999999,90.0,108
cum_wind_twh,C7,86.93904554079191,89.99999999999996,90.0,96
cum_wind_twh,POOL,68.80869729201069,89.99999999999926,90.0,528
cum_solar_twh,C1,-7.992106062169453,-4.433483161637717,-2.642294622550616,108
cum_solar_twh,C2,-4.977897754240205,-3.403298215479886,-0.20797696963988843,108
cum_solar_twh,C3,-15.467625332441227,-7.187279396253258,-4.354905908166606,108
cum_solar_twh,C4,-18.541115238045467,-7.99869593951464,-0.6132987601113661,108
cum_solar_twh,C7,-2.4127435310023753,2.741015953799452,22.228195664896038,96
cum_solar_twh,POOL,-9.46265407751036,-4.160495011353927,-0.48943436675387464,528
avg_elec_price,C1,-12.144101942640553,-10.000612827633915,-7.632056853687763,108
avg_elec_price,C2,-12.065120036313559,-9.213104004106697,-7.20186417783057,108
avg_elec_price,C3,-10.00540441584128,-6.720628496074049,-1.5539147808774825,108
avg_elec_price,C4,-15.262435223898695,-8.447919767631937,1.3733292206582455,108
avg_elec_price,C7,-15.278233185925272,-7.154074802681075,0.24463142314858566,96
avg_elec_price,POOL,-12.30317806827285,-8.866663251420507,-4.35549503949903,528
nonvre_cf,C1,-24.03319705003909,-15.371156537850364,-11.068042429486884,108
nonvre_cf,C2,-11.421106451838899,-7.900059002410886,-5.121380671429438,108
nonvre_cf,C3,-10.972921027658067,-7.807444426989223,-4.828339289981345,108
nonvre_cf,C4,-14.215359613608195,-8.014389751114418,-5.743676204822265,108
nonvre_cf,C7,-44.73786886429937,-29.41284412321592,-16.708259295746107,96
nonvre_cf,POOL,-21.367660247013742,-10.351778361480875,-6.632120821010674,528
npv_cost_bn,C1,-1.6808768452229685,-0.587265898553733,1.0089281599259734,108
npv_cost_bn,C2,-6.359669395885474,-2.9101559887201693,1.943713191478994,108
npv_cost_bn,C3,-13.479340583393832,-8.167907192394658,-0.9621638891485538,108
npv_cost_bn,C4,-2.6527560492304834,-1.3088372081740305,-0.27491233200742793,108
npv_cost_bn,C7,-4.163640200412703,5.051188135790504,20.429927191940426,96
npv_cost_bn,POOL,-5.1735724666056955,-1.3088372081740305,1.4089081149243068,528
cum_emissions_mt,C1,-1.9832095603134303,-0.8151389638099961,-0.16893090358416082,108
cum_emissions_mt,C2,-0.9662930012895677,-0.7156166721196211,-0.24435730241811018,108
cum_emissions_mt,C3,-0.5673055600981165,-0.3383405084542216,-0.08168860921987295,108
cum_emissions_mt,C4,-0.5567643346618127,-0.3944136450085467,-0.0884760773359526,108
cum_emissions_mt,C7,-36.80701996848729,-14.163693751319654,-1.8753161743880005,96
cum_emissions_mt,POOL,-1.1350323660187314,-0.5206830493271835,-0.17460984215699843,528
