outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,-33.19908781119773,-28.673043270206826,-20.540101568576492,36
cum_wind_twh,C2,-44.93376784231776,-29.55845469807697,-23.76367496170611,34
cum_wind_twh,C3,-45.00000000000004,-35.524546775842545,-29.977131966067464,35
cum_wind_twh,C4,-90.0,-51.643866582030505,-44.09241194040389,35
cum_wind_twh,C7,-90.0,-72.12024070789553,-26.65643576318196,30
cum_wind_twh,POOL,-65.17597586518382,-35.47393881824388,-27.057927532936272,170
cum_solar_twh,C1,12.115874444281115,18.631019933977512,41.51046585678664,36
cum_solar_twh,C2,10.1012369786094,15.559976617917856,25.911776349704315,36
cum_solar_twh,C3,22.8804712969442,37.01858396939697,46.1306234296626,36
cum_solar_twh,C4,-4.597474382872779,-0.12548842787885994,11.084820227602542,36
cum_solar_twh,C7,-60.53116700212378,-48.28176238502145,-29.63326661868315,32
cum_solar_twh,POOL,-1.8001497236703918,14.863733762968817,37.67288782178609,176
avg_elec_price,C1,7.377922584592172,10.84123784884627,15.215199729317174,36
avg_elec_price,C2,10.356174373918634,14.492733916072265,21.572314958436383,36
avg_elec_price,C3,11.673134620463024,15.381286772461618,23.28738165492765,36
avg_elec_price,C4,24.406262973255537,31.3229327618522,41.30125873247127,36
avg_elec_price,C7,31.286897398170524,49.92657725955657,64.29701025601828,32
avg_elec_price,POOL,11.973994640934533,19.94144602910837,33.54906317698762,176
nonvre_cf,C1,-57.741567414542565,-39.27281521030502,-31.774352200819486,36
nonvre_cf,C2,-55.88710009854045,-34.426184283939556,-28.014532855740597,36
nonvre_cf,C3,-63.802043403174196,-33.06016339551357,-28.894899449352142,36
nonvre_cf,C4,-56.29791579868503,-32.80897464937577,-20.973551504535727,36
nonvre_cf,C7,-74.88267843231802,-63.21770749771652,-56.702381463498256,32
nonvre_cf,POOL,-61.89770116150156,-43.342359701421636,-29.21802851554216,176
npv_cost_bn,C1,-0.9716922577072675,1.633005652337209,3.8214088011354206,36
npv_cost_bn,C2,5.067138810697252,12.908987615535011,15.901035000685383,36
npv_cost_bn,C3,17.74067146650097,26.883124646857546,43.14217046151673,36
npv_cost_bn,C4,0.14158201360491962,4.879351930441238,8.196346206575651,36
npv_cost_bn,C7,21.843596218033657,47.286582544117636,66.3020351564225,32
npv_cost_bn,POOL,2.1825224841195907,9.020667040546204,27.857397181668993,176
cum_emissions_mt,C1,-0.2217376735039739,0.1570229015477963,1.7685874497014806,36
cum_emissions_mt,C2,-0.01170870404364843,0.7190257798314881,1.3409569397774268,36
cum_emissions_mt,C3,0.23875481821267436,0.34668009933222443,0.9421954003175864,36
cum_emissions_mt,C4,1.1280883351532602,1.519582396272128,1.8629339289977955,36
cum_emissions_mt,C7,32.19171509491429,56.94956624699053,70.20144206919818,32
cum_emissions_mt,POOL,0.25277607814754494,1.3102276562546074,2.0849808164829016,176
