channel,sg_climate,region,outcome,n,S_p5,S_p25,S_median,S_p75,S_p95,absS_median,absP_median,pct_rivals_50,pct_rivals_100
supply,C1,WORLD,cum_wind_twh,108.0,34.69,40.99,47.78,52.4,60.7,47.78,169.21,0.0,0.0
supply,C1,R10AFRICA,cum_wind_twh,108.0,1253.68,1345.53,1504.49,1684.96,2204.01,1504.49,4088.7,16.67,0.93
supply,C1,R10CHINA+,cum_wind_twh,108.0,6.03,41.74,53.83,72.85,96.46,53.83,244.5,1.85,0.0
supply,C1,R10EUROPE,cum_wind_twh,108.0,7.58,10.64,16.08,22.13,30.65,16.08,118.07,0.0,0.0
supply,C1,R10INDIA+,cum_wind_twh,108.0,110.85,301.1,347.03,437.6,554.68,347.03,716.22,44.44,8.33
supply,C1,R10LATIN_AM,cum_wind_twh,108.0,3.29,11.21,21.03,36.56,44.29,21.03,40.5,54.63,37.04
supply,C1,R10MIDDLE_EAST,cum_wind_twh,108.0,216.97,305.4,795.34,1829.47,3552.98,795.34,885.29,50.93,25.93
supply,C1,R10NORTH_AM,cum_wind_twh,108.0,6.16,7.86,10.63,14.35,15.95,10.63,79.94,0.0,0.0
supply,C1,R10PAC_OECD,cum_wind_twh,108.0,78.94,110.66,306.26,844.9,948.83,306.26,201.78,71.3,49.07
supply,C1,R10REF_ECON,cum_wind_twh,108.0,-101.56,-50.48,-20.96,3.16,81.85,34.37,1078.93,0.0,0.0
supply,C1,R10REST_ASIA,cum_wind_twh,108.0,205.44,360.38,496.33,594.28,1089.92,496.33,237.18,99.07,77.78
supply,C1,WORLD,cum_solar_twh,108.0,-13.18,-10.85,-9.46,-7.68,-3.28,9.46,72.26,0.0,0.0
supply,C1,R10AFRICA,cum_solar_twh,108.0,-34.88,-30.0,-25.63,-19.5,-14.22,25.63,75.21,16.67,8.33
supply,C1,R10CHINA+,cum_solar_twh,108.0,-15.43,-7.59,-4.2,1.6,20.11,6.32,79.07,0.93,0.0
supply,C1,R10EUROPE,cum_solar_twh,108.0,-22.59,-15.71,-12.3,-8.96,-7.12,12.3,11.19,93.52,40.74
supply,C1,R10INDIA+,cum_solar_twh,108.0,-21.18,-13.63,-6.8,-3.14,2.1,6.8,90.43,0.0,0.0
supply,C1,R10LATIN_AM,cum_solar_twh,108.0,-31.42,-24.56,-19.15,-14.36,-4.11,19.15,33.39,79.63,2.78
supply,C1,R10MIDDLE_EAST,cum_solar_twh,108.0,-10.48,-4.0,-2.31,-0.73,2.81,2.71,76.14,0.93,0.0
supply,C1,R10NORTH_AM,cum_solar_twh,108.0,-40.41,-31.63,-11.59,-4.73,-1.54,11.59,66.31,0.0,0.0
supply,C1,R10PAC_OECD,cum_solar_twh,108.0,-58.65,-34.87,-14.47,-1.09,7.81,17.58,36.64,50.93,1.85
supply,C1,R10REF_ECON,cum_solar_twh,108.0,144.77,302.08,438.93,807.54,1005.91,438.93,404.09,89.81,42.59
supply,C1,R10REST_ASIA,cum_solar_twh,108.0,-29.88,-12.95,-7.58,-4.27,-0.71,7.99,96.41,5.56,0.0
supply,C1,WORLD,avg_elec_price,108.0,-16.31,-14.54,-12.68,-8.98,-7.4,12.68,44.22,0.93,0.0
supply,C1,R10AFRICA,avg_elec_price,108.0,-21.4,-18.54,-15.3,-12.73,-11.68,15.3,42.14,16.67,0.0
supply,C1,R10CHINA+,avg_elec_price,108.0,-17.94,-12.65,-10.71,-4.31,-0.65,10.71,53.78,0.0,0.0
supply,C1,R10EUROPE,avg_elec_price,108.0,-22.33,-14.85,-12.85,-9.82,-7.61,12.85,20.06,83.33,33.33
supply,C1,R10INDIA+,avg_elec_price,108.0,-12.07,-9.36,-5.7,-3.92,-1.49,5.7,40.13,1.85,0.0
supply,C1,R10LATIN_AM,avg_elec_price,108.0,-12.76,-11.93,-11.29,-10.18,-9.09,11.29,12.16,83.33,47.22
