outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,13.463309097495173,15.9341959458005,17.413711332532422,108
cum_wind_twh,C2,15.440274225225282,18.814726250524444,24.854736447485237,108
cum_wind_twh,C3,16.65723709612943,21.277897389958124,26.148603850308554,108
cum_wind_twh,C4,25.436517306132224,30.31733714656716,41.08109677192861,108
cum_wind_twh,C7,61.08949046192832,69.30352671357701,75.70591514226392,96
cum_wind_twh,POOL,16.450951744864724,22.26864156951651,39.903226048057256,528
cum_solar_twh,C1,-9.078164585871678,-7.7234827945338616,-6.165060867565989,108
cum_solar_twh,C2,-9.812206685384393,-8.6600467811796,-7.023727875766141,108
cum_solar_twh,C3,-14.404201329501305,-12.086884522423516,-9.332698002010648,108
cum_solar_twh,C4,-42.43440899383742,-32.9381625027258,-26.718093331143134,108
cum_solar_twh,C7,-15.76570403375974,-5.994040656656512,8.563465717273331,96
cum_solar_twh,POOL,-18.544147231442942,-9.952028234417696,-7.02013447640166,528
avg_elec_price,C1,-19.08990131646686,-14.12764629532657,-11.465628908866137,108
avg_elec_price,C2,-23.032597228344738,-17.268307860548095,-14.562313455960055,108
avg_elec_price,C3,-24.712564062497187,-19.859008057233368,-16.003423190832727,108
avg_elec_price,C4,-33.988312971278866,-25.892126493035157,-20.217683483161323,108
avg_elec_price,C7,-42.26409168721476,-30.462394008904703,-22.87653898693903,96
avg_elec_price,POOL,-28.166459622972013,-20.5756123970247,-15.219025711168563,528
nonvre_cf,C1,-12.721689833688263,-10.619312428403065,-9.030544443092882,108
nonvre_cf,C2,-15.467976723038856,-11.444508439112573,-9.010230606608904,108
nonvre_cf,C3,-17.788430368879464,-13.67969746587952,-9.90764491107447,108
nonvre_cf,C4,-29.528963801254953,-19.66310200395374,-15.098261194453663,108
nonvre_cf,C7,-62.762317041280866,-56.88152604725863,-47.40194973528811,96
nonvre_cf,POOL,-28.026463436937814,-14.897881702111285,-10.590214105471047,528
npv_cost_bn,C1,-8.157336825560389,-7.250498498895885,-6.595200756391835,108
npv_cost_bn,C2,-9.047689159876498,-6.178327989190666,-2.00797733977542,108
npv_cost_bn,C3,-7.285330507963994,-3.304962140409408,0.379600138939597,108
npv_cost_bn,C4,-5.74470675624557,5.9674153470157005,13.411480296707406,108
npv_cost_bn,C7,17.8174514732613,28.100035238611326,40.29147837752811,96
npv_cost_bn,POOL,-7.678251459674265,-3.7028994072599497,8.91031333702756,528
cum_emissions_mt,C1,-1.7897252447994874,-1.3769421113165787,-0.9898988376924833,108
cum_emissions_mt,C2,-2.971330437787577,-1.8474340496537343,-1.0502347490879727,108
cum_emissions_mt,C3,-2.5482920237281177,-2.036032810492932,-1.5076434744251481,108
cum_emissions_mt,C4,-2.284490606011159,-1.707214776148316,-1.2526666783478417,108
cum_emissions_mt,C7,-61.127907074692644,-50.56431410276441,-33.65473183834086,96
cum_emissions_mt,POOL,-3.341989432976087,-2.0269630809323815,-1.3057247873632105,528
