r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2020,0.43,0.0,8.31,USD2010/tCO2,58
R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2025,113.94,28.22,179.27,USD2010/tCO2,58
R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2030,180.17,89.49,241.69,USD2010/tCO2,58
R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2035,243.45,142.95,358.71,USD2010/tCO2,58
R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2040,326.01,239.53,539.74,USD2010/tCO2,58
R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2045,415.81,353.85,714.5,USD2010/tCO2,58
R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2050,605.23,451.31,863.42,USD2010/tCO2,58
R10AFRICA,Africa,C2,"1.5°C, high overshoot",2020,0.0,0.0,0.55,USD2010/tCO2,76
R10AFRICA,Africa,C2,"1.5°C, high overshoot",2025,32.69,5.54,61.39,USD2010/tCO2,65
R10AFRICA,Africa,C2,"1.5°C, high overshoot",2030,49.85,10.8,78.77,USD2010/tCO2,76
R10AFRICA,Africa,C2,"1.5°C, high overshoot",2035,152.99,95.06,208.88,USD2010/tCO2,65
R10AFRICA,Africa,C2,"1.5°C, high overshoot",2040,191.71,106.05,261.57,USD2010/tCO2,76
R10AFRICA,Africa,C2,"1.5°C, high overshoot",2045,257.82,161.67,360.63,USD2010/tCO2,65
R10AFRICA,Africa,C2,"1.5°C, high overshoot",2050,285.06,180.84,426.08,USD2010/tCO2,76
R10AFRICA,Africa,C3,Likely below 2°C,2020,0.14,0.0,8.31,USD2010/tCO2,180
R10AFRICA,Africa,C3,Likely below 2°C,2025,32.7,8.92,45.73,USD2010/tCO2,157
R10AFRICA,Africa,C3,Likely below 2°C,2030,48.97,12.04,63.91,USD2010/tCO2,180
R10AFRICA,Africa,C3,Likely below 2°C,2035,87.7,63.8,133.35,USD2010/tCO2,157
R10AFRICA,Africa,C3,Likely below 2°C,2040,122.55,91.4,178.52,USD2010/tCO2,180
R10AFRICA,Africa,C3,Likely below 2°C,2045,179.54,117.95,229.77,USD2010/tCO2,157
R10AFRICA,Africa,C3,Likely below 2°C,2050,211.71,145.79,304.91,USD2010/tCO2,180
R10AFRICA,Africa,C4,Below 2°C with lower probability,2020,0.0,0.0,0.0,USD2010/tCO2,69
R10AFRICA,Africa,C4,Below 2°C with lower probability,2025,14.57,4.61,22.63,USD2010/tCO2,63
R10AFRICA,Africa,C4,Below 2°C with lower probability,2030,12.04,0.0,36.35,USD2010/tCO2,69
R10AFRICA,Africa,C4,Below 2°C with lower probability,2035,55.56,41.37,83.87,USD2010/tCO2,63
R10AFRICA,Africa,C4,Below 2°C with lower probability,2040,76.61,56.75,115.41,USD2010/tCO2,69
R10AFRICA,Africa,C4,Below 2°C with lower probability,2045,96.24,72.08,152.12,USD2010/tCO2,63
R10AFRICA,Africa,C4,Below 2°C with lower probability,2050,112.53,90.42,161.76,USD2010/tCO2,69
R10AFRICA,Africa,C7,High-warming weak-policy (reference),2020,0.0,0.0,0.55,USD2010/tCO2,57
R10AFRICA,Africa,C7,High-warming weak-policy (reference),2025,0.0,0.0,1.94,USD2010/tCO2,52
R10AFRICA,Africa,C7,High-warming weak-policy (reference),2030,0.0,0.0,1.25,USD2010/tCO2,57
R10AFRICA,Africa,C7,High-warming weak-policy (reference),2035,0.0,0.0,1.99,USD2010/tCO2,52
R10AFRICA,Africa,C7,High-warming weak-policy (reference),2040,0.0,0.0,2.46,USD2010/tCO2,57
R10AFRICA,Africa,C7,High-warming weak-policy (reference),2045,0.4,0.0,3.1,USD2010/tCO2,52
R10AFRICA,Africa,C7,High-warming weak-policy (reference),2050,0.0,0.0,3.68,USD2010/tCO2,57
R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2020,0.28,0.0,0.28,USD2010/tCO2,60
R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2025,128.21,101.54,190.02,USD2010/tCO2,60
R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2030,194.33,164.67,244.32,USD2010/tCO2,60
R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2035,256.63,220.16,396.19,USD2010/tCO2,60
R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2040,338.71,287.98,560.56,USD2010/tCO2,60
R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2045,460.87,355.81,713.93,USD2010/tCO2,60
R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2050,581.84,409.79,771.78,USD2010/tCO2,60
R10CHINA+,China,C2,"1.5°C, high overshoot",2020,0.0,0.0,1.11,USD2010/tCO2,86
R10CHINA+,China,C2,"1.5°C, high overshoot",2025,24.75,1.11,73.93,USD2010/tCO2,75
R10CHINA+,China,C2,"1.5°C, high overshoot",2030,41.97,8.23,77.17,USD2010/tCO2,86
R10CHINA+,China,C2,"1.5°C, high overshoot",2035,135.74,87.35,201.85,USD2010/tCO2,75
R10CHINA+,China,C2,"1.5°C, high overshoot",2040,165.64,108.54,257.75,USD2010/tCO2,86
R10CHINA+,China,C2,"1.5°C, high overshoot",2045,249.21,164.3,345.91,USD2010/tCO2,75
R10CHINA+,China,C2,"1.5°C, high overshoot",2050,285.03,195.5,417.87,USD2010/tCO2,86
R10CHINA+,China,C3,Likely below 2°C,2020,0.28,0.0,0.28,USD2010/tCO2,192
R10CHINA+,China,C3,Likely below 2°C,2025,39.0,1.11,60.99,USD2010/tCO2,169
R10CHINA+,China,C3,Likely below 2°C,2030,49.25,8.23,80.62,USD2010/tCO2,192
R10CHINA+,China,C3,Likely below 2°C,2035,97.48,69.64,138.58,USD2010/tCO2,169
R10CHINA+,China,C3,Likely below 2°C,2040,128.69,96.45,186.44,USD2010/tCO2,192
R10CHINA+,China,C3,Likely below 2°C,2045,171.28,120.13,239.45,USD2010/tCO2,169
R10CHINA+,China,C3,Likely below 2°C,2050,208.73,147.49,301.21,USD2010/tCO2,192
R10CHINA+,China,C4,Below 2°C with lower probability,2020,0.0,0.0,4.85,USD2010/tCO2,74
R10CHINA+,China,C4,Below 2°C with lower probability,2025,4.67,0.0,19.61,USD2010/tCO2,68
R10CHINA+,China,C4,Below 2°C with lower probability,2030,12.91,0.0,32.54,USD2010/tCO2,74
R10CHINA+,China,C4,Below 2°C with lower probability,2035,52.06,41.63,77.38,USD2010/tCO2,68
R10CHINA+,China,C4,Below 2°C with lower probability,2040,75.8,57.1,108.19,USD2010/tCO2,74
R10CHINA+,China,C4,Below 2°C with lower probability,2045,95.39,73.23,145.68,USD2010/tCO2,68
R10CHINA+,China,C4,Below 2°C with lower probability,2050,112.39,92.51,161.43,USD2010/tCO2,74
R10CHINA+,China,C7,High-warming weak-policy (reference),2020,0.0,0.0,0.28,USD2010/tCO2,57
R10CHINA+,China,C7,High-warming weak-policy (reference),2025,0.0,0.0,0.26,USD2010/tCO2,52
R10CHINA+,China,C7,High-warming weak-policy (reference),2030,0.0,0.0,0.63,USD2010/tCO2,57
R10CHINA+,China,C7,High-warming weak-policy (reference),2035,0.0,0.0,1.06,USD2010/tCO2,52
R10CHINA+,China,C7,High-warming weak-policy (reference),2040,0.0,0.0,1.54,USD2010/tCO2,57
R10CHINA+,China,C7,High-warming weak-policy (reference),2045,0.0,0.0,2.08,USD2010/tCO2,52
R10CHINA+,China,C7,High-warming weak-policy (reference),2050,0.0,0.0,2.68,USD2010/tCO2,57
R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2020,6.87,0.0,13.64,USD2010/tCO2,60
R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2025,181.51,115.48,238.58,USD2010/tCO2,60
R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2030,241.69,182.47,329.7,USD2010/tCO2,60
R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2035,339.03,227.05,483.38,USD2010/tCO2,60
R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2040,410.28,298.63,622.14,USD2010/tCO2,60
R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2045,494.2,352.78,748.01,USD2010/tCO2,60
R10EUROPE,Europe,C1,"1.5°C, no/limited overshoot",2050,635.43,409.79,887.68,USD2010/tCO2,60
R10EUROPE,Europe,C2,"1.5°C, high overshoot",2020,0.0,0.0,12.68,USD2010/tCO2,86
R10EUROPE,Europe,C2,"1.5°C, high overshoot",2025,44.89,27.09,77.31,USD2010/tCO2,75
R10EUROPE,Europe,C2,"1.5°C, high overshoot",2030,63.36,50.0,111.1,USD2010/tCO2,86
R10EUROPE,Europe,C2,"1.5°C, high overshoot",2035,154.82,93.79,206.26,USD2010/tCO2,75
R10EUROPE,Europe,C2,"1.5°C, high overshoot",2040,172.09,119.07,259.4,USD2010/tCO2,86
R10EUROPE,Europe,C2,"1.5°C, high overshoot",2045,253.87,169.48,352.5,USD2010/tCO2,75
R10EUROPE,Europe,C2,"1.5°C, high overshoot",2050,285.03,195.5,417.87,USD2010/tCO2,86
R10EUROPE,Europe,C3,Likely below 2°C,2020,7.71,0.0,14.86,USD2010/tCO2,190
R10EUROPE,Europe,C3,Likely below 2°C,2025,42.81,23.68,76.23,USD2010/tCO2,167
R10EUROPE,Europe,C3,Likely below 2°C,2030,71.48,50.2,110.96,USD2010/tCO2,190
R10EUROPE,Europe,C3,Likely below 2°C,2035,104.42,72.6,168.65,USD2010/tCO2,167
R10EUROPE,Europe,C3,Likely below 2°C,2040,134.85,98.66,213.93,USD2010/tCO2,190
R10EUROPE,Europe,C3,Likely below 2°C,2045,178.1,120.71,263.56,USD2010/tCO2,167
R10EUROPE,Europe,C3,Likely below 2°C,2050,209.45,147.7,301.86,USD2010/tCO2,190
R10EUROPE,Europe,C4,Below 2°C with lower probability,2020,0.0,0.0,7.17,USD2010/tCO2,74
R10EUROPE,Europe,C4,Below 2°C with lower probability,2025,22.1,16.3,31.32,USD2010/tCO2,68
R10EUROPE,Europe,C4,Below 2°C with lower probability,2030,43.88,28.1,76.42,USD2010/tCO2,74
R10EUROPE,Europe,C4,Below 2°C with lower probability,2035,52.06,41.63,77.38,USD2010/tCO2,68
R10EUROPE,Europe,C4,Below 2°C with lower probability,2040,75.8,57.1,108.06,USD2010/tCO2,74
R10EUROPE,Europe,C4,Below 2°C with lower probability,2045,94.76,72.43,145.68,USD2010/tCO2,68
R10EUROPE,Europe,C4,Below 2°C with lower probability,2050,112.38,92.46,161.43,USD2010/tCO2,74
R10EUROPE,Europe,C7,High-warming weak-policy (reference),2020,0.0,0.0,8.51,USD2010/tCO2,55
R10EUROPE,Europe,C7,High-warming weak-policy (reference),2025,0.0,0.0,9.64,USD2010/tCO2,50
R10EUROPE,Europe,C7,High-warming weak-policy (reference),2030,0.0,0.0,10.58,USD2010/tCO2,55
R10EUROPE,Europe,C7,High-warming weak-policy (reference),2035,0.0,0.0,9.1,USD2010/tCO2,50
R10EUROPE,Europe,C7,High-warming weak-policy (reference),2040,0.0,0.0,8.62,USD2010/tCO2,55
R10EUROPE,Europe,C7,High-warming weak-policy (reference),2045,0.0,0.0,8.78,USD2010/tCO2,50
R10EUROPE,Europe,C7,High-warming weak-policy (reference),2050,0.0,0.0,8.48,USD2010/tCO2,55
R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2020,0.28,0.0,0.28,USD2010/tCO2,60
R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2025,133.67,63.83,177.75,USD2010/tCO2,60
R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2030,176.95,103.13,241.69,USD2010/tCO2,60
R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2035,242.69,152.72,350.22,USD2010/tCO2,60
R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2040,325.37,260.5,499.12,USD2010/tCO2,60
R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2045,430.26,352.78,693.38,USD2010/tCO2,60
R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2050,592.32,412.98,815.96,USD2010/tCO2,60
R10INDIA+,India,C2,"1.5°C, high overshoot",2020,0.0,0.0,0.28,USD2010/tCO2,86
R10INDIA+,India,C2,"1.5°C, high overshoot",2025,23.04,1.11,61.44,USD2010/tCO2,75
R10INDIA+,India,C2,"1.5°C, high overshoot",2030,41.97,1.11,78.09,USD2010/tCO2,86
R10INDIA+,India,C2,"1.5°C, high overshoot",2035,129.57,85.89,200.38,USD2010/tCO2,75
R10INDIA+,India,C2,"1.5°C, high overshoot",2040,165.64,107.85,256.54,USD2010/tCO2,86
R10INDIA+,India,C2,"1.5°C, high overshoot",2045,249.21,162.19,345.91,USD2010/tCO2,75
R10INDIA+,India,C2,"1.5°C, high overshoot",2050,285.03,195.5,417.87,USD2010/tCO2,86
R10INDIA+,India,C3,Likely below 2°C,2020,0.07,0.0,0.28,USD2010/tCO2,192
