demand_variable,r10_region,region_label,ar6_category,category_label,year,median_twh,q25_twh,q75_twh,unit,n_scenarios
elec_buildings,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2020,408.42,379.07,441.01,TWh/yr,59
elec_buildings,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2025,547.63,495.85,613.07,TWh/yr,63
elec_buildings,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2030,772.2,710.41,850.66,TWh/yr,61
elec_buildings,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2035,1183.23,1088.21,1365.55,TWh/yr,66
elec_buildings,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2040,1744.42,1383.0,2050.66,TWh/yr,66
elec_buildings,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2045,2481.71,1785.06,3005.52,TWh/yr,67
elec_buildings,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2050,3186.01,2269.27,3940.37,TWh/yr,67
elec_buildings,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2020,441.41,353.48,571.74,TWh/yr,87
elec_buildings,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2025,541.42,447.77,699.27,TWh/yr,76
elec_buildings,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2030,760.66,715.39,988.69,TWh/yr,87
elec_buildings,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2035,1072.52,969.11,1214.65,TWh/yr,75
elec_buildings,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2040,1564.68,1354.01,1788.51,TWh/yr,87
elec_buildings,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2045,2033.8,1657.58,2838.84,TWh/yr,76
elec_buildings,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2050,2780.51,2307.04,3850.57,TWh/yr,87
elec_buildings,R10AFRICA,Africa,C3,Likely below 2°C,2020,408.91,404.27,450.63,TWh/yr,187
elec_buildings,R10AFRICA,Africa,C3,Likely below 2°C,2025,587.67,535.5,692.46,TWh/yr,200
elec_buildings,R10AFRICA,Africa,C3,Likely below 2°C,2030,853.37,718.01,918.07,TWh/yr,222
elec_buildings,R10AFRICA,Africa,C3,Likely below 2°C,2035,1110.4,917.19,1276.04,TWh/yr,195
elec_buildings,R10AFRICA,Africa,C3,Likely below 2°C,2040,1384.78,1157.05,1853.51,TWh/yr,218
elec_buildings,R10AFRICA,Africa,C3,Likely below 2°C,2045,1873.92,1473.4,2687.45,TWh/yr,202
elec_buildings,R10AFRICA,Africa,C3,Likely below 2°C,2050,2544.34,1874.42,3657.7,TWh/yr,225
elec_buildings,R10AFRICA,Africa,C4,Below 2°C with lower probability,2020,450.63,427.21,693.45,TWh/yr,87
elec_buildings,R10AFRICA,Africa,C4,Below 2°C with lower probability,2025,587.67,556.65,857.62,TWh/yr,81
elec_buildings,R10AFRICA,Africa,C4,Below 2°C with lower probability,2030,804.41,654.29,1042.69,TWh/yr,87
elec_buildings,R10AFRICA,Africa,C4,Below 2°C with lower probability,2035,1100.58,889.62,1155.77,TWh/yr,81
elec_buildings,R10AFRICA,Africa,C4,Below 2°C with lower probability,2040,1295.57,1083.37,1333.1,TWh/yr,87
elec_buildings,R10AFRICA,Africa,C4,Below 2°C with lower probability,2045,1491.89,1276.09,1586.82,TWh/yr,73
elec_buildings,R10AFRICA,Africa,C4,Below 2°C with lower probability,2050,1864.9,1667.25,2159.94,TWh/yr,85
elec_buildings,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2020,404.27,376.41,440.32,TWh/yr,57
elec_buildings,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2025,583.53,499.65,608.28,TWh/yr,57
elec_buildings,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2030,818.56,715.35,914.18,TWh/yr,63
elec_buildings,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2035,1151.18,967.14,1190.83,TWh/yr,56
elec_buildings,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2040,1467.68,1230.08,1637.76,TWh/yr,64
elec_buildings,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2045,1956.57,1566.8,2192.64,TWh/yr,59
elec_buildings,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2050,2399.16,1926.93,2742.49,TWh/yr,64
elec_buildings,R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2020,3386.28,3003.76,3457.85,TWh/yr,68
elec_buildings,R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2025,3578.4,3269.58,4422.47,TWh/yr,68
elec_buildings,R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2030,4467.41,3961.5,5421.38,TWh/yr,68
elec_buildings,R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2035,5401.47,4538.79,6437.8,TWh/yr,68
elec_buildings,R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2040,6079.65,5250.47,7153.22,TWh/yr,68
elec_buildings,R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2045,6447.53,5869.6,7210.87,TWh/yr,68
elec_buildings,R10CHINA+,China,C1,"1.5°C, no/limited overshoot",2050,6970.18,5811.5,7387.84,TWh/yr,68
elec_buildings,R10CHINA+,China,C2,"1.5°C, high overshoot",2020,3325.4,2906.21,3457.85,TWh/yr,96
