fuel,r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2020,2.1,1.63,3.24,USD2010/GJ,49
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2025,5.94,3.09,7.37,USD2010/GJ,46
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2030,7.29,5.68,8.04,USD2010/GJ,48
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2035,8.0,6.83,9.02,USD2010/GJ,45
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2040,11.66,8.71,14.23,USD2010/GJ,46
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2045,17.01,13.39,20.15,USD2010/GJ,48
biomass,R10AFRICA,Africa,C1,"1.5°C, no/limited overshoot",2050,19.89,15.89,24.1,USD2010/GJ,48
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2020,4.96,3.04,7.46,USD2010/GJ,75
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2025,6.74,4.43,8.7,USD2010/GJ,64
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2030,4.51,2.44,7.47,USD2010/GJ,75
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2035,6.03,4.97,7.5,USD2010/GJ,63
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2040,9.53,7.58,11.74,USD2010/GJ,73
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2045,12.19,10.65,16.3,USD2010/GJ,61
biomass,R10AFRICA,Africa,C2,"1.5°C, high overshoot",2050,15.16,11.44,21.17,USD2010/GJ,73
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2020,1.82,1.49,3.24,USD2010/GJ,177
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2025,4.47,1.83,5.89,USD2010/GJ,157
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2030,2.73,1.83,5.92,USD2010/GJ,180
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2035,5.4,2.37,6.34,USD2010/GJ,155
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2040,6.1,3.12,7.54,USD2010/GJ,178
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2045,7.6,3.45,10.29,USD2010/GJ,156
biomass,R10AFRICA,Africa,C3,Likely below 2°C,2050,8.43,3.49,12.94,USD2010/GJ,180
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2020,1.82,1.63,6.05,USD2010/GJ,64
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2025,1.95,1.31,6.33,USD2010/GJ,58
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2030,1.83,1.56,2.2,USD2010/GJ,55
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2035,3.1,1.86,3.93,USD2010/GJ,57
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2040,3.8,1.86,4.86,USD2010/GJ,63
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2045,4.9,2.3,6.4,USD2010/GJ,57
biomass,R10AFRICA,Africa,C4,Below 2°C with lower probability,2050,5.52,2.76,8.85,USD2010/GJ,63
biomass,R10AFRICA,Africa,C7,High-warming weak-policy (reference),2020,1.95,1.01,6.2,USD2010/GJ,48
