outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,16.797865551293807,20.053120748104043,23.28849761889109,108
cum_wind_twh,C2,20.53178069608657,25.722068548567215,43.66179051180755,108
cum_wind_twh,C3,25.339479443709013,31.864545537834985,55.6579659968579,108
cum_wind_twh,C4,35.16474074583325,61.772062474491875,89.44553129088249,108
cum_wind_twh,C7,-89.99999999999963,89.99999999999999,90.0,96
cum_wind_twh,POOL,20.722845988948198,31.215573582582053,70.84244504805537,528
cum_solar_twh,C1,-21.53311859223947,-17.76902066034554,-15.009609420359928,108
cum_solar_twh,C2,-23.756266559221366,-20.202754668926772,-16.837164004577783,108
cum_solar_twh,C3,-55.2892437767681,-42.57135955236484,-35.5966374234264,108
cum_solar_twh,C4,-65.91917073500233,-50.75258551247117,-9.490441953842927,108
cum_solar_twh,C7,-32.51468139200358,30.77931559113395,58.56657643015374,96
cum_solar_twh,POOL,-44.99582702524195,-22.594736832170824,-14.521530970655242,528
avg_elec_price,C1,-23.57271866107986,-20.16920733653898,-16.779164191860723,108
avg_elec_price,C2,-26.13186501551356,-22.17826847938924,-17.251131213210144,108
avg_elec_price,C3,-33.16350951035507,-26.02146547184013,-22.41932004255043,108
avg_elec_price,C4,-53.05681371018825,-32.183281710564884,-24.621320904424774,108
avg_elec_price,C7,-39.910925195399216,-27.312788590539647,-18.17584843467831,96
avg_elec_price,POOL,-32.13908890155797,-24.484647981920588,-18.96035186952091,528
npv_cost_bn,C1,-8.502787293933654,-6.7505899341157765,-4.457265932084309,108
npv_cost_bn,C2,-5.144000587069378,-2.31386954218247,8.292946858349925,108
npv_cost_bn,C3,-8.947912789426265,-0.7207828043292674,21.685417754260484,108
npv_cost_bn,C4,5.415330753505222,15.746766342977772,37.82293080075119,108
npv_cost_bn,C7,42.92216007677481,59.311183404255004,66.92347368303271,96
npv_cost_bn,POOL,-5.966537710413205,2.1120599526425887,33.270854709357124,528
cum_emissions_mt,C1,-6.602049705314559,-3.953108755364335,-2.628617743004972,108
cum_emissions_mt,C2,-15.460312614409887,-6.290720933805357,-2.947235258952361,108
cum_emissions_mt,C3,-3.778779278056827,-2.529592907059251,-1.8242864397246066,108
cum_emissions_mt,C4,-6.923694613626285,-3.6118834914784346,-1.86198320991682,108
cum_emissions_mt,C7,-66.67227422970217,-60.70775712852026,-46.14928594154556,96
cum_emissions_mt,POOL,-14.61252938473554,-4.861233599963118,-2.437579226426953,528
