outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,-3.103664851439379,-1.1010543955357117,-0.3184545005806801,36
cum_wind_twh,C2,-4.453893159659505,-2.7220293749694546,-0.974342586167606,36
cum_wind_twh,C3,-9.379178946327782,-7.322884706311873,-3.1458613376222724,36
cum_wind_twh,C4,-12.261972653635425,-4.43621152828185,0.7031417762666647,33
cum_wind_twh,C7,-87.43639812211876,-6.873466263428222,-8.176204002244346e-16,26
cum_wind_twh,POOL,-8.722377295215033,-3.4152867047028637,-0.5745050000922634,167
cum_solar_twh,C1,5.762898192205797,28.946719459071332,59.04478576661683,36
cum_solar_twh,C2,-5.5132118997341255,39.51587879062334,55.82813145643467,36
cum_solar_twh,C3,0.9497003054034228,15.806644805164769,24.389185679834686,36
cum_solar_twh,C4,-14.018939785848339,4.201485893058736,10.268746798553611,36
cum_solar_twh,C7,-69.50992660738004,-61.91346703051833,-34.73227154077876,32
cum_solar_twh,POOL,-16.48226823772854,7.854216079355439,28.805556721113046,176
npv_cost_bn,C1,3.8352718223797484,4.927280182803988,5.822223668204676,36
npv_cost_bn,C2,2.966109278977475,3.9642487693124755,6.270886482473564,36
npv_cost_bn,C3,3.903507463283468,6.364433958843928,10.813913425449302,36
npv_cost_bn,C4,7.187469602080285,13.71297850491823,37.05269066105103,36
npv_cost_bn,C7,-9.283697738763404,2.213037810723006,18.605563167286302,32
npv_cost_bn,POOL,2.9475844599187724,5.371050634664492,9.83781141476203,176
cum_emissions_mt,C1,-0.6608857303401248,2.0178160296815637,3.440868721669952,36
cum_emissions_mt,C2,0.5147632170640509,3.215727420733531,6.037609881775933,36
cum_emissions_mt,C3,1.1220322928370199,1.4654883946571748,2.2929805969862382,36
cum_emissions_mt,C4,0.35927799117360015,1.7056230301830717,2.07096792003385,36
cum_emissions_mt,C7,21.642296490192507,38.336791145262204,63.62920779125005,32
cum_emissions_mt,POOL,0.8974270332107882,2.2368980521092565,6.0822068070986255,176
