outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,19.849394591949174,26.533562385690534,35.09183028624161,108
cum_wind_twh,C2,23.509655247290297,38.481160653385956,56.89019464265962,108
cum_wind_twh,C3,48.943564587027915,61.93076583475216,76.92716687088289,108
cum_wind_twh,C4,73.5702188723074,83.27203096982217,88.97539064111106,108
cum_wind_twh,C7,82.71896109195582,88.36766830298711,90.0,96
cum_wind_twh,POOL,32.4448084084017,63.37867552465788,84.3159119362077,528
cum_solar_twh,C1,-9.065028845433632,-5.403261461610951,-2.369780427538435,108
cum_solar_twh,C2,-12.89785644517105,-9.55735512783713,-5.690672952358872,108
cum_solar_twh,C3,-23.230571466544802,-16.59899633212091,-12.26562531808872,108
cum_solar_twh,C4,-78.18098618419164,-64.13652322319143,-45.09116741160584,108
cum_solar_twh,C7,-22.649163624422513,-10.897144726813826,3.105184469703765,96
cum_solar_twh,POOL,-28.103620433040398,-12.61978273179657,-6.27979474939324,528
avg_elec_price,C1,-16.01876607727801,-10.330438998859746,-6.64397525682344,108
avg_elec_price,C2,-16.755999312043933,-10.955759081224894,-7.32628852695124,108
avg_elec_price,C3,-18.514243250770054,-10.477493116606091,-7.409121590946002,108
avg_elec_price,C4,-30.192785042024326,-16.097276227829887,-8.992840240534441,108
avg_elec_price,C7,-34.803073587067104,-15.576495409394827,-7.257557041603716,96
avg_elec_price,POOL,-21.52051509021377,-11.62646779145874,-7.307034845553284,528
npv_cost_bn,C1,-7.429971252607793,-3.115165619939516,0.4903166969572167,108
npv_cost_bn,C2,-6.5705284559788035,4.690692325987019,23.264981654304897,108
npv_cost_bn,C3,13.698980722684796,49.77373075053446,69.88642844824483,108
npv_cost_bn,C4,17.211191714626544,31.251109798516858,43.91551590774868,108
npv_cost_bn,C7,7.570495900762992,30.17254386256134,50.397060932642056,96
npv_cost_bn,POOL,-2.5693408781198412,17.64354130306149,38.864147455677724,528
cum_emissions_mt,C1,-1.155379586874723,-0.45541124505293007,-0.18751115835770182,108
cum_emissions_mt,C2,-1.7939989156338747,-0.7296432004769143,-0.2557685761936342,108
cum_emissions_mt,C3,-1.8663454440165743,-1.2880985889793322,-0.5770061412635477,108
cum_emissions_mt,C4,-2.337035192077099,-1.2550193725865333,-0.7523835072351339,108
cum_emissions_mt,C7,-40.15510998489492,-23.554444634663547,-9.514235314304901,96
cum_emissions_mt,POOL,-3.0554833868371807,-1.254611544158069,-0.417574322579518,528
