outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,-20.850269769143054,-16.9790180913298,-12.18977557880821,36
cum_wind_twh,C2,-22.135984284425014,-17.58542454600248,-12.340947139267476,36
cum_wind_twh,C3,-28.174682143078073,-19.175216499387723,-13.097625926268476,36
cum_wind_twh,C4,-35.482167335542506,-20.955251773650847,-12.961039927678058,36
cum_wind_twh,C7,-21.28160162620172,-1.6819032338188036,0.6877583209386177,32
cum_wind_twh,POOL,-23.52650175292406,-17.339929015145877,-11.106702735202596,176
cum_solar_twh,C1,22.55591495459562,27.666794526668035,30.76045304282478,36
cum_solar_twh,C2,22.123754851041685,26.438063624208127,33.49091428624173,36
cum_solar_twh,C3,26.94492583140432,39.12539006146089,49.097545967488664,36
cum_solar_twh,C4,12.14716725523335,36.222950323664705,63.91885287959898,36
cum_solar_twh,C7,-29.957546373735113,23.62390801003194,38.333373085895964,32
cum_solar_twh,POOL,20.709023592490194,28.46267203940638,40.46642046676111,176
avg_elec_price,C1,10.686127291689473,13.61117327285901,16.649767235172977,36
avg_elec_price,C2,11.623490927968348,14.9977151459377,17.751483753844788,36
avg_elec_price,C3,12.755875724328963,14.955566406885998,19.27702341209736,36
avg_elec_price,C4,14.307488842960838,18.821316254170323,21.424537962569975,36
avg_elec_price,C7,29.80218744814389,67.3160889278811,76.42311723884123,32
avg_elec_price,POOL,13.026649071617,17.215140521918865,25.55054943480192,176
nonvre_cf,C1,-65.5826331810427,-60.557536163922535,-51.955493021929,36
nonvre_cf,C2,-64.36550039468413,-55.63072023394932,-46.4437748567467,36
nonvre_cf,C3,-58.121775272986746,-48.43330759395735,-36.994001028149576,36
nonvre_cf,C4,-53.255421808674804,-41.55670721014067,-28.619137058257714,36
nonvre_cf,C7,-81.1738060164626,-76.60688509223097,-66.38303752148046,32
nonvre_cf,POOL,-66.1553718214548,-57.500447481301705,-44.73999048814552,176
npv_cost_bn,C1,9.425565566475036,13.570151589606475,18.06236641170066,36
npv_cost_bn,C2,7.537984652537597,13.952769236814001,21.892914569210376,36
npv_cost_bn,C3,9.353442817287394,20.761527606726517,30.034259116488492,36
npv_cost_bn,C4,22.212882657144462,32.04441963456104,54.95355059948939,36
npv_cost_bn,C7,42.2710561716637,59.72032354949377,83.46298225839578,32
npv_cost_bn,POOL,12.076058122779179,21.888364019282946,42.49776868940676,176
cum_emissions_mt,C1,0.16142903971829756,0.5545449583120322,1.1646865707510359,36
cum_emissions_mt,C2,0.38509277834908606,0.5663243781495242,2.6053066668616394,36
cum_emissions_mt,C3,0.42845871202636465,0.748479947811888,2.079108829235138,36
cum_emissions_mt,C4,1.4075439361175257,2.966877551319815,3.5721301249286785,36
cum_emissions_mt,C7,-7.278204673201261,4.2459458003482675,24.225937876066425,32
cum_emissions_mt,POOL,0.35845899774086437,0.9598388774634949,3.5191313657438212,176
