outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,5.393567926183872,26.407666879280406,40.80858169909847,36
cum_wind_twh,C2,6.866684582058686,33.84989584126817,43.353224107357136,36
cum_wind_twh,C3,4.979329030695228,34.6108582863116,44.438719947660346,36
cum_wind_twh,C4,9.675250906876173,17.68230386973994,23.38605674912089,36
cum_wind_twh,C7,35.449772332737446,59.807139733324064,72.1510187333112,32
cum_wind_twh,POOL,6.822890637449497,31.223203127448464,46.6437186107955,176
cum_solar_twh,C1,-36.639374023136526,12.241385787652163,45.664826414205045,36
cum_solar_twh,C2,-55.559455633295066,-20.619931797365478,28.052768781768997,36
cum_solar_twh,C3,-55.880335240323255,-17.534500430043302,45.57705559244945,36
cum_solar_twh,C4,-61.709438649168106,-33.29855564676035,-7.568490994907828,36
cum_solar_twh,C7,-88.69788983738998,-85.36067742632828,-81.60891001084833,32
cum_solar_twh,POOL,-66.5050398082613,-34.69399460801235,12.518372563746794,176
npv_cost_bn,C1,27.335114872569214,41.75966346348521,53.33619761597801,36
npv_cost_bn,C2,22.699952018080346,28.19926882747961,35.65671470536786,36
npv_cost_bn,C3,37.206667339148346,62.464985582972844,73.0878588440261,36
npv_cost_bn,C4,10.845816967120042,17.932476596030234,27.49502430317304,36
npv_cost_bn,C7,50.81378158844744,63.25810795958347,77.86024577055659,32
npv_cost_bn,POOL,21.92349139383677,37.73247561433334,62.61061025629121,176
cum_emissions_mt,C1,-18.987500929864016,0.2843971011488479,8.68660157239473,36
cum_emissions_mt,C2,2.843707041018428,8.108711195982993,23.98950696252443,36
cum_emissions_mt,C3,3.6472625731215964,8.08406451038128,13.319381413164427,36
cum_emissions_mt,C4,3.7750596886276746,10.020625694746073,24.398463990588056,36
cum_emissions_mt,C7,35.99163719401113,53.69894849828436,71.21380908956777,32
cum_emissions_mt,POOL,3.0688171568360825,10.433916818276533,30.78704780116448,176
