outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,17.866980841135998,26.997843113505887,46.52874765943514,108
cum_wind_twh,C2,-89.99999999999987,17.673024054523275,40.39830956260991,108
cum_wind_twh,C3,-89.99999999999993,13.781465987185696,23.864762013997474,108
cum_wind_twh,C4,-89.99999999999993,4.978137399373731,17.527774980645283,108
cum_wind_twh,C7,-90.0,-29.9283684778182,89.57024685038843,96
cum_wind_twh,POOL,-89.99999999999987,16.71243464503696,44.4648426610472,528
cum_solar_twh,C1,-3.35327712430883,-2.107535666157936,-0.8353700424626787,108
cum_solar_twh,C2,-2.7421151723856436,-1.0419987259503345,2.92848184183262,108
cum_solar_twh,C3,-1.0343770427865129,1.3671475606386276,5.9914377339502085,108
cum_solar_twh,C4,1.3428082748617305,4.5689488225458685,11.357658343679184,108
cum_solar_twh,C7,5.213481992740217,10.01329155354115,19.702415462168414,96
cum_solar_twh,POOL,-1.9578858070249978,1.5147011218161666,8.197130888231559,528
npv_cost_bn,C1,-4.117807255974285,-2.4550263892376565,-0.16772514218298235,108
npv_cost_bn,C2,-15.125556525610826,-7.682825062870052,-5.435804837364595,108
npv_cost_bn,C3,-9.724126276138056,-5.425419016360083,-2.0520559081094643,108
npv_cost_bn,C4,-10.4284083600678,-2.686022034028347,-1.2427446706466843,108
npv_cost_bn,C7,-47.67905783054836,-29.503450973043265,-4.418326556003758,96
npv_cost_bn,POOL,-13.877098924143244,-4.942627709319401,-1.9288424887308198,528
cum_emissions_mt,C1,-6.8175653741121085,-4.7176792068092865,-3.3341559912201797,108
cum_emissions_mt,C2,-6.879461543136895,-3.7088751063101806,-1.2296268871941238,108
cum_emissions_mt,C3,-9.852984783743524,-4.141339353296647,-1.1657229945398424,108
cum_emissions_mt,C4,-6.09193607937441,-3.1285626192857645,-1.4000667167778293,108
cum_emissions_mt,C7,-19.341579193313972,-12.310336754711074,-6.642139342901278,96
cum_emissions_mt,POOL,-10.054138034834548,-4.670435888205423,-2.125377204449657,528
