outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,4.025996982647393,7.469362254727018,14.845558104543496,108
cum_wind_twh,C2,5.046828958588774,6.9561617133503955,8.52387234256202,108
cum_wind_twh,C3,3.162639544037755,7.791714783154595,16.146261593723658,108
cum_wind_twh,C4,6.394544967529627,9.665404421101403,12.94483406752459,108
cum_wind_twh,C7,19.5726046381508,53.73536274199897,64.48660458791574,96
cum_wind_twh,POOL,4.7816459238131355,9.599867198887614,16.146342103950776,528
cum_solar_twh,C1,-15.41445759542944,-11.46666109524837,-5.48422418822278,108
cum_solar_twh,C2,-13.186381133915347,-8.081387327275735,-0.7519496909185825,108
cum_solar_twh,C3,-13.439124166741045,-9.759414018986774,-0.9188109915316964,108
cum_solar_twh,C4,-14.28127027389184,-9.599117928357849,-5.848954855539638,108
cum_solar_twh,C7,-57.36906923339519,-48.3383901804343,19.505915341580746,96
cum_solar_twh,POOL,-15.78794363286926,-10.215345488186587,-3.0731905166020956,528
avg_elec_price,C1,-29.44688697774163,-23.602746345180385,-19.577045112976656,108
avg_elec_price,C2,-46.63859133349969,-34.57895518897021,-27.80077460480262,108
avg_elec_price,C3,-34.296951820884445,-25.939551297021545,-20.827197121606943,108
avg_elec_price,C4,-49.997057509729366,-37.63315093606987,-29.40457034048901,108
avg_elec_price,C7,-74.58860752120154,-67.99171248230249,-58.188937134480575,96
avg_elec_price,POOL,-53.21422853361859,-34.09373197782164,-24.61762591317075,528
nonvre_cf,C1,-3.908511576475925,-2.1918676658775196,-0.9589532966847638,108
nonvre_cf,C2,-4.015361378252326,-2.7461299104324595,-1.4778781638391152,108
nonvre_cf,C3,-6.215898248516223,-2.9229510762668562,-1.4292890083093364,108
nonvre_cf,C4,-9.05356882887492,-6.327657836706997,-2.7999507566356123,108
nonvre_cf,C7,-65.41142088178815,-53.08839759429078,-16.493901763721976,96
nonvre_cf,POOL,-9.496877489225016,-4.0111138239984285,-1.8895625679296275,528
npv_cost_bn,C1,-17.279887867798966,-15.784387297269125,-14.514797237126453,108
npv_cost_bn,C2,-66.55172207094633,-52.6099234208846,-42.94449053167009,108
npv_cost_bn,C3,-18.386100611805475,-17.137683919482797,-16.276558040713553,108
npv_cost_bn,C4,-61.50333557813808,-46.43507345548713,-36.93806890099524,108
npv_cost_bn,C7,-40.132530573103814,1.9959437680485008,31.589456659696584,96
npv_cost_bn,POOL,-47.08927590058829,-23.274479911944603,-16.002351210410517,528
cum_emissions_mt,C1,-0.5430129252498792,-0.35019106996425803,-0.11914366493620343,108
cum_emissions_mt,C2,-1.033232984055173,-0.7703369469711783,-0.556186714067516,108
cum_emissions_mt,C3,-2.312406540873448,-0.872830458817488,-0.4974612562679821,108
cum_emissions_mt,C4,-1.8985976677687335,-1.062608807414093,-0.6636722456055295,108
cum_emissions_mt,C7,-67.95560726547673,-57.5912309703342,-26.323457727322428,96
cum_emissions_mt,POOL,-2.276810967092131,-0.8701639711191573,-0.485445310520747,528
