outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,25.59378730908235,43.22772105121347,82.54410287783494,108
cum_wind_twh,C2,23.447766136828452,41.03576166278161,64.38998502768001,108
cum_wind_twh,C3,24.678156333141366,33.35022475356589,82.54046450675621,108
cum_wind_twh,C4,30.8328518904024,41.42549817636319,80.94644517629794,108
cum_wind_twh,C7,81.12468235956814,89.65294326503096,89.99999999999997,96
cum_wind_twh,POOL,28.31862002892727,53.69002026953616,87.57041832841449,528
cum_solar_twh,C1,-40.19672084878188,-21.683819186630927,-5.139257761000967,108
cum_solar_twh,C2,-40.949443974408425,-19.721597052014427,0.6481113240181531,108
cum_solar_twh,C3,-35.344963161925534,-6.356014772520079,2.271650777896356,108
cum_solar_twh,C4,-42.73124280910173,-16.68464563960307,-7.086335713500603,108
cum_solar_twh,C7,-89.99999999999342,3.422726933355584,90.0,96
cum_solar_twh,POOL,-39.14760379719815,-15.328084142134124,3.351645110742508,528
avg_elec_price,C1,-17.397942458107494,-9.064699703504736,-6.409335018728363,108
avg_elec_price,C2,-21.43108713246336,-11.761439783586216,-7.250586025635647,108
avg_elec_price,C3,-17.34391132633499,-6.896853052676093,-6.010378582724856,108
avg_elec_price,C4,-15.606109791653733,-10.478839124303876,-7.778478333171743,108
avg_elec_price,C7,-18.689707581429047,-9.96561963472496,-0.8263210451899199,96
avg_elec_price,POOL,-17.804672004765248,-9.610050565631699,-6.374769707596531,528
nonvre_cf,C1,-70.1519217972874,-26.66217711990985,-14.152943336264846,108
nonvre_cf,C2,-55.55443397595958,-26.371898894740895,-13.652371753346111,108
nonvre_cf,C3,-74.48279786965142,-25.407421597688682,-17.840525678140796,108
nonvre_cf,C4,-64.59032035590774,-34.907579560674066,-15.43856843262198,108
nonvre_cf,C7,-83.29223267679401,-65.69610720163766,-40.86287669251776,96
nonvre_cf,POOL,-72.82573043083583,-32.61153147021396,-15.080068417775657,528
npv_cost_bn,C1,0.9800052864114623,18.022299543990357,33.99379858574466,108
npv_cost_bn,C2,4.213563085589801,18.08929877538606,44.3136714585055,108
npv_cost_bn,C3,3.000113862218136,11.846274722430417,51.01529440019989,108
npv_cost_bn,C4,2.7770445777271107,14.566591144475495,63.551065864054664,108
npv_cost_bn,C7,-2.148316776867831,5.401506959466413,25.0490199825595,96
npv_cost_bn,POOL,1.2755075254439119,11.541454211163536,38.62367875202891,528
cum_emissions_mt,C1,-18.065409982465717,-6.741539717344997,-2.4475845001493535,108
cum_emissions_mt,C2,-11.306301853845024,-4.021110990134904,-2.513192094091948,108
cum_emissions_mt,C3,-31.293944122878358,-6.52172652551214,-4.544592048839542,108
cum_emissions_mt,C4,-1.600619568310313,-0.9105357726464274,-0.04723415415919785,108
cum_emissions_mt,C7,-64.91276520906099,-45.99908824237738,-12.792768230856925,96
cum_emissions_mt,POOL,-22.235602882414483,-5.381016372551166,-1.9483499209486346,528
