outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,-4.536582257213784,0.3736894337604999,2.6165206577676603,36
cum_wind_twh,C2,-11.614377280290405,-1.0550461223582406,1.3338290996428208,36
cum_wind_twh,C3,-8.383849263992248,-1.6560732216900291,1.098957965427465,35
cum_wind_twh,C4,-17.044118717392298,-3.3832924427032536,-1.1429568227988305,36
cum_wind_twh,C7,-74.73652767059446,-17.906624492726596,-2.336830957053298,30
cum_wind_twh,POOL,-15.272111515148083,-2.020822694763176,1.283825070614027,173
cum_solar_twh,C1,-21.840778160760504,-5.462773310522254,20.470529994988816,36
cum_solar_twh,C2,-22.363292082090215,-12.58261727577203,-3.901378934884236,36
cum_solar_twh,C3,-21.726309223579275,-12.337471675671331,0.5380258783099328,36
cum_solar_twh,C4,-40.31790439907934,-15.677282065345581,-9.282429458758376,35
cum_solar_twh,C7,-44.99999999999994,-32.08941058782279,64.18876332686264,26
cum_solar_twh,POOL,-27.367731399945423,-13.63172499748402,1.0448183272547127,169
avg_elec_price,C1,6.498824042657048,9.705717896321595,11.237793691325633,36
avg_elec_price,C2,7.220570920268155,10.03781455993228,11.971229002374209,36
avg_elec_price,C3,6.835653705724733,9.071316059935475,10.851618870197754,36
avg_elec_price,C4,7.413657338264537,10.295525843583572,12.946845386975761,36
avg_elec_price,C7,16.293853260132188,18.97653410440978,44.04149647004643,32
avg_elec_price,POOL,7.607007852066796,10.73126328995853,14.316284607332403,176
npv_cost_bn,C1,6.4625515640387565,10.297549672349835,16.126829264304636,36
npv_cost_bn,C2,1.8606820854405552,5.303801765998083,9.468635730641163,36
npv_cost_bn,C3,1.7585246521102664,6.1885705339358985,9.927944651382646,36
npv_cost_bn,C4,0.754914063608865,7.537926456314313,13.083944200978072,36
npv_cost_bn,C7,13.36371289944201,42.12658663063042,78.32733433044812,32
npv_cost_bn,POOL,4.909321047571028,9.180942476481349,15.281947703255298,176
cum_emissions_mt,C1,-0.1273582590340546,0.2595924472601264,1.3221782248477585,36
cum_emissions_mt,C2,0.42792331421366786,0.847914552193291,2.0201650666419626,36
cum_emissions_mt,C3,0.6669440995312858,2.196322129316311,3.0290807549316203,36
cum_emissions_mt,C4,0.6480542717782716,1.5850283727343375,2.764883878415023,36
cum_emissions_mt,C7,-6.628717941137121,-3.387629459748603,1.4528490813723822,32
cum_emissions_mt,POOL,0.043708342576348966,0.853113936058675,2.2263040112938395,176
