outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,46.42624956003078,65.13282793033316,86.20062155126463,108
cum_wind_twh,C2,66.31108603835236,85.76113725648781,90.0,108
cum_wind_twh,C3,72.32939863393881,88.47242693445713,89.99999999999999,108
cum_wind_twh,C4,89.40788978918664,89.99999999999999,90.0,108
cum_wind_twh,C7,80.87459073227267,89.99999999999989,90.0,96
cum_wind_twh,POOL,69.44510855740909,89.99999999999936,90.0,528
cum_solar_twh,C1,-7.406978803275587,-4.384300759790172,-2.644017623681038,108
cum_solar_twh,C2,-4.7094941646687785,-3.092901843322703,-0.06466955771988958,108
cum_solar_twh,C3,-9.268373730979746,-5.779357032384192,-3.1788949023190827,108
cum_solar_twh,C4,-16.46010730694274,-5.572807176324314,0.15671556652456453,108
cum_solar_twh,C7,0.06888540077568475,10.540365338209334,25.185493725798157,96
cum_solar_twh,POOL,-8.116654775348955,-3.372476362060908,0.8156447803461563,528
npv_cost_bn,C1,-1.7933711958440224,-0.5816940633740874,0.874687828385198,108
npv_cost_bn,C2,-5.839146439607306,-1.6846050641278039,3.6265231416179295,108
npv_cost_bn,C3,-28.095402886222267,-11.537560716599545,-1.8102554508662712,108
npv_cost_bn,C4,-2.6329970642563776,-1.0723405760086295,0.36070946156182004,108
npv_cost_bn,C7,-1.3166186568949305,13.36377141379537,24.781320038728783,96
npv_cost_bn,POOL,-5.082383433101821,-1.0980254167852914,3.1829403511776073,528
cum_emissions_mt,C1,-1.8652173872542357,-0.7523903566794756,-0.155502711116502,108
cum_emissions_mt,C2,-1.1538611228775129,-0.7571679472100503,-0.2560009837907578,108
cum_emissions_mt,C3,-0.6940019028346575,-0.4315741086161921,-0.09362889397154592,108
cum_emissions_mt,C4,-0.6547828256065095,-0.434619571838625,-0.16515721657899518,108
cum_emissions_mt,C7,-41.052176787447586,-17.29479179518188,-8.830691244706532,96
cum_emissions_mt,POOL,-1.6591423677555928,-0.6793830869442348,-0.21517791175216544,528
