outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,-32.879399292639526,-28.53416577397606,-20.413439635380904,36
cum_wind_twh,C2,-44.93376784231776,-29.764444056393494,-23.104604172238446,34
cum_wind_twh,C3,-45.00000000000007,-35.52454677584255,-29.223398736854637,35
cum_wind_twh,C4,-90.0,-51.98349003981505,-44.09241194040389,35
cum_wind_twh,C7,-90.0,-42.623981229960116,-23.361660051826433,32
cum_wind_twh,POOL,-57.57765861886208,-35.02618094903099,-26.440865842066405,172
cum_solar_twh,C1,11.140524677680347,17.43302627104415,36.73712110570378,36
cum_solar_twh,C2,9.151005037208087,13.049726960725952,21.920112511525666,36
cum_solar_twh,C3,17.311851850324523,34.18047531154146,56.98857459504407,36
cum_solar_twh,C4,-6.924459998984969,-2.1517712295789284,9.045292002750884,36
cum_solar_twh,C7,-61.86729253443794,-43.698148830117205,-31.03162194707781,32
cum_solar_twh,POOL,-2.7526994569972993,12.621883656500499,33.97988458662141,176
npv_cost_bn,C1,-0.891306800123364,1.3005905778355507,3.1190027934831988,36
npv_cost_bn,C2,3.702560955521318,10.254137602866827,13.487435830940301,36
npv_cost_bn,C3,11.652829711658619,18.596683599596027,45.020254184211964,36
npv_cost_bn,C4,0.12517399800268597,4.0198711845107695,7.865814136077463,36
npv_cost_bn,C7,15.607341012081273,38.17956071066935,55.9530743034324,32
npv_cost_bn,POOL,1.3866845156949905,7.74090852126145,20.220985284843174,176
cum_emissions_mt,C1,-0.1812333871174057,0.1572672336396662,1.6406403148872735,36
cum_emissions_mt,C2,0.165032695019584,0.7556919842319454,1.3805693929828549,36
cum_emissions_mt,C3,0.3062653755716034,0.42469422810465407,1.3276729816255615,36
cum_emissions_mt,C4,1.022346370443472,1.4143249745779016,1.90379712312993,36
cum_emissions_mt,C7,32.98724290606812,56.689740133849725,71.07696093813584,32
cum_emissions_mt,POOL,0.3374005695305838,1.2422767148598215,2.073263403820526,176
