config,r10_region,region_label,technology,technology_label,bin_rank,n_cells,avg_cf,std_cf,total_capacity_gw
LoT,R10AFRICA,Africa,solar,Solar PV,1,4394,0.2783,0.0475,9764.37
LoT,R10AFRICA,Africa,solar,Solar PV,2,641,0.261,0.0566,1396.55
LoT,R10AFRICA,Africa,solar,Solar PV,3,1511,0.2524,0.0533,2231.3
LoT,R10AFRICA,Africa,solar,Solar PV,4,2111,0.2359,0.0654,3377.75
LoT,R10AFRICA,Africa,solar,Solar PV,5,3755,0.2184,0.0615,7182.2
LoT,R10AFRICA,Africa,solar,Solar PV,6,1171,0.2148,0.0577,4124.48
HiT,R10AFRICA,Africa,solar,Solar PV,1,643,0.2873,0.0273,1741.31
HiT,R10AFRICA,Africa,solar,Solar PV,2,505,0.2829,0.0252,1143.22
HiT,R10AFRICA,Africa,solar,Solar PV,3,646,0.2829,0.0273,1583.7
HiT,R10AFRICA,Africa,solar,Solar PV,4,173,0.2798,0.0292,393.15
HiT,R10AFRICA,Africa,solar,Solar PV,5,209,0.2792,0.0255,491.09
HiT,R10AFRICA,Africa,solar,Solar PV,6,585,0.2762,0.0356,1444.68
HiT,R10AFRICA,Africa,solar,Solar PV,7,610,0.2746,0.0367,1060.83
HiT,R10AFRICA,Africa,solar,Solar PV,8,408,0.2733,0.0336,895.59
HiT,R10AFRICA,Africa,solar,Solar PV,9,376,0.273,0.029,667.89
HiT,R10AFRICA,Africa,solar,Solar PV,10,318,0.2726,0.0319,750.36
HiT,R10AFRICA,Africa,solar,Solar PV,11,271,0.2697,0.0352,741.5
HiT,R10AFRICA,Africa,solar,Solar PV,12,188,0.2695,0.0297,421.48
HiT,R10AFRICA,Africa,solar,Solar PV,13,263,0.2673,0.0252,427.94
HiT,R10AFRICA,Africa,solar,Solar PV,14,209,0.2621,0.0318,356.24
HiT,R10AFRICA,Africa,solar,Solar PV,15,151,0.2603,0.0421,338.54
HiT,R10AFRICA,Africa,solar,Solar PV,16,118,0.258,0.0284,361.76
HiT,R10AFRICA,Africa,solar,Solar PV,17,115,0.2564,0.0424,72.36
HiT,R10AFRICA,Africa,solar,Solar PV,18,256,0.2513,0.0355,758.84
HiT,R10AFRICA,Africa,solar,Solar PV,19,125,0.2512,0.0407,127.01
HiT,R10AFRICA,Africa,solar,Solar PV,20,59,0.2504,0.0381,19.48
HiT,R10AFRICA,Africa,solar,Solar PV,21,174,0.249,0.0295,250.19
HiT,R10AFRICA,Africa,solar,Solar PV,22,154,0.2486,0.028,219.72
HiT,R10AFRICA,Africa,solar,Solar PV,23,132,0.2458,0.0461,197.83
HiT,R10AFRICA,Africa,solar,Solar PV,24,94,0.2423,0.0279,136.54
HiT,R10AFRICA,Africa,solar,Solar PV,25,67,0.2418,0.0315,75.78
HiT,R10AFRICA,Africa,solar,Solar PV,26,73,0.2409,0.0367,23.77
HiT,R10AFRICA,Africa,solar,Solar PV,27,244,0.2402,0.0315,370.62
HiT,R10AFRICA,Africa,solar,Solar PV,28,109,0.2384,0.0365,29.54
HiT,R10AFRICA,Africa,solar,Solar PV,29,203,0.2378,0.0373,496.61
HiT,R10AFRICA,Africa,solar,Solar PV,30,94,0.2366,0.0365,137.0
HiT,R10AFRICA,Africa,solar,Solar PV,31,97,0.2359,0.0318,174.31
HiT,R10AFRICA,Africa,solar,Solar PV,32,122,0.235,0.0361,111.23
HiT,R10AFRICA,Africa,solar,Solar PV,33,366,0.2346,0.0383,623.27
HiT,R10AFRICA,Africa,solar,Solar PV,34,225,0.233,0.033,339.85
HiT,R10AFRICA,Africa,solar,Solar PV,35,263,0.232,0.0363,568.41
HiT,R10AFRICA,Africa,solar,Solar PV,36,302,0.2319,0.0493,367.29
HiT,R10AFRICA,Africa,solar,Solar PV,37,129,0.2311,0.0408,574.44
HiT,R10AFRICA,Africa,solar,Solar PV,38,285,0.2303,0.0402,340.54
HiT,R10AFRICA,Africa,solar,Solar PV,39,143,0.2295,0.0395,304.2
HiT,R10AFRICA,Africa,solar,Solar PV,40,119,0.2288,0.0487,115.55
HiT,R10AFRICA,Africa,solar,Solar PV,41,174,0.2273,0.0376,68.46
HiT,R10AFRICA,Africa,solar,Solar PV,42,152,0.2255,0.0374,128.2
HiT,R10AFRICA,Africa,solar,Solar PV,43,256,0.2244,0.041,550.43
HiT,R10AFRICA,Africa,solar,Solar PV,44,200,0.2236,0.044,115.05
HiT,R10AFRICA,Africa,solar,Solar PV,45,181,0.223,0.0399,493.12
HiT,R10AFRICA,Africa,solar,Solar PV,46,160,0.2212,0.0448,242.92
HiT,R10AFRICA,Africa,solar,Solar PV,47,155,0.2207,0.037,470.55
HiT,R10AFRICA,Africa,solar,Solar PV,48,117,0.2198,0.0437,119.22
HiT,R10AFRICA,Africa,solar,Solar PV,49,169,0.2189,0.0435,79.36
HiT,R10AFRICA,Africa,solar,Solar PV,50,93,0.2154,0.04,400.8
HiT,R10AFRICA,Africa,solar,Solar PV,51,85,0.2141,0.0352,99.3
HiT,R10AFRICA,Africa,solar,Solar PV,52,154,0.2136,0.0389,789.16
HiT,R10AFRICA,Africa,solar,Solar PV,53,53,0.2135,0.042,19.67
HiT,R10AFRICA,Africa,solar,Solar PV,54,130,0.2113,0.0377,163.41
HiT,R10AFRICA,Africa,solar,Solar PV,55,126,0.2112,0.0441,81.71
HiT,R10AFRICA,Africa,solar,Solar PV,56,161,0.2058,0.039,490.43
HiT,R10AFRICA,Africa,solar,Solar PV,57,172,0.2056,0.0432,934.23
HiT,R10AFRICA,Africa,solar,Solar PV,58,144,0.2047,0.0421,649.92
HiT,R10AFRICA,Africa,solar,Solar PV,59,45,0.2045,0.0376,32.6
HiT,R10AFRICA,Africa,solar,Solar PV,60,98,0.2038,0.0377,565.13
HiT,R10AFRICA,Africa,solar,Solar PV,61,200,0.2011,0.0413,686.5
HiT,R10AFRICA,Africa,solar,Solar PV,62,55,0.1995,0.0437,51.89
HiT,R10AFRICA,Africa,solar,Solar PV,63,107,0.1971,0.0401,405.33
HiT,R10AFRICA,Africa,solar,Solar PV,64,67,0.1933,0.0362,80.78
HiT,R10AFRICA,Africa,solar,Solar PV,65,154,0.1841,0.0409,248.37
HiT,R10AFRICA,Africa,solar,Solar PV,66,69,0.1816,0.0432,226.18
HiT,R10AFRICA,Africa,solar,Solar PV,67,89,0.1769,0.038,51.37
HiT,R10AFRICA,Africa,solar,Solar PV,68,63,0.1747,0.0391,105.82
HiT,R10AFRICA,Africa,solar,Solar PV,69,66,0.1742,0.0377,139.5
HiT,R10AFRICA,Africa,solar,Solar PV,70,123,0.1693,0.045,146.54
HiT,R10AFRICA,Africa,solar,Solar PV,71,73,0.1555,0.0414,84.46
HiT,R10AFRICA,Africa,solar,Solar PV,72,69,0.1508,0.0352,102.6
LoT,R10AFRICA,Africa,wind_onshore,Wind onshore,1,1963,0.3426,0.2624,6221.56
LoT,R10AFRICA,Africa,wind_onshore,Wind onshore,2,838,0.3408,0.2683,1876.19
LoT,R10AFRICA,Africa,wind_onshore,Wind onshore,3,1180,0.3351,0.2491,1235.35
LoT,R10AFRICA,Africa,wind_onshore,Wind onshore,4,3323,0.3287,0.2335,6189.26
LoT,R10AFRICA,Africa,wind_onshore,Wind onshore,5,1334,0.2605,0.2502,1933.76
LoT,R10AFRICA,Africa,wind_onshore,Wind onshore,6,1200,0.172,0.1375,822.4
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,1,395,0.4276,0.2018,654.17
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,2,297,0.427,0.2197,734.45
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,3,281,0.4211,0.2201,776.67
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,4,187,0.4028,0.2189,666.09
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,5,407,0.3821,0.1941,996.97
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,6,325,0.3756,0.1862,1069.35
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,7,209,0.3755,0.2095,712.39
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,8,228,0.3738,0.2262,686.36
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,9,133,0.3716,0.2276,400.57
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,10,139,0.3661,0.1672,444.58
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,11,123,0.351,0.1795,362.14
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,12,186,0.3497,0.166,576.05
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,13,219,0.3401,0.186,633.97
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,14,117,0.3299,0.1591,374.19
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,15,243,0.3276,0.2096,468.2
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,16,312,0.3242,0.2146,973.79
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,17,253,0.3232,0.2049,802.05
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,18,154,0.3203,0.1787,508.53
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,19,85,0.3001,0.1912,66.0
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,20,191,0.2998,0.1686,159.89
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,21,167,0.2957,0.1837,464.21
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,22,166,0.2821,0.1436,245.44
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,23,144,0.2817,0.2885,125.41
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,24,51,0.2794,0.166,141.08
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,25,166,0.2792,0.1694,402.22
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,26,129,0.2704,0.1715,101.94
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,27,158,0.2686,0.1349,207.92
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,28,161,0.2684,0.2264,354.94
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,29,92,0.2671,0.1495,116.53
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,30,172,0.2646,0.1426,179.3
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,31,70,0.2597,0.1472,204.23
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,32,176,0.2578,0.1558,212.86
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,33,133,0.2534,0.1801,107.87
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,34,195,0.2447,0.1315,255.85
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,35,86,0.2381,0.1553,177.64
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,36,80,0.233,0.1618,76.87
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,37,135,0.2329,0.1671,436.45
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,38,90,0.2274,0.1301,47.78
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,39,80,0.2271,0.14,23.62
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,40,85,0.2222,0.1727,177.58
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,41,80,0.2201,0.1344,42.84
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,42,101,0.2124,0.1014,46.03
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,43,259,0.206,0.124,218.63
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,44,259,0.2008,0.1097,250.18
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,45,79,0.1973,0.1234,88.38
HiT,R10AFRICA,Africa,wind_onshore,Wind onshore,46,94,0.1864,0.1753,91.11
