ts_level,ts_label,timeslice_id,season_code,tod_code,n_seasons,n_tod_blocks,months,hours_1indexed,n_hours_per_day,n_days_in_season,annual_hours,fraction_of_year
ts_4,TS04,S1_H1,S1,H1,2,2,"[1, 2, 3, 4, 5, 12]","[1, 2, 3, 4, 5, 6, 19, 20, 21, 22, 23, 24]",12,182,2184,0.249315
ts_4,TS04,S1_H2,S1,H2,2,2,"[1, 2, 3, 4, 5, 12]","[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",12,182,2184,0.249315
ts_4,TS04,S2_H1,S2,H1,2,2,"[6, 7, 8, 9, 10, 11]","[1, 2, 3, 4, 5, 6, 19, 20, 21, 22, 23, 24]",12,183,2196,0.250685
ts_4,TS04,S2_H2,S2,H2,2,2,"[6, 7, 8, 9, 10, 11]","[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",12,183,2196,0.250685
ts_12,TS12,S1_H1,S1,H1,4,3,"[1, 2, 12]","[1, 2, 3, 4, 5, 6, 7, 8]",8,90,720,0.082192
ts_12,TS12,S1_H2,S1,H2,4,3,"[1, 2, 12]","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10,90,900,0.10274
ts_12,TS12,S1_H3,S1,H3,4,3,"[1, 2, 12]","[19, 20, 21, 22, 23, 24]",6,90,540,0.061644
ts_12,TS12,S2_H1,S2,H1,4,3,"[3, 4, 5]","[1, 2, 3, 4, 5, 6, 7, 8]",8,92,736,0.084018
ts_12,TS12,S2_H2,S2,H2,4,3,"[3, 4, 5]","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10,92,920,0.105023
ts_12,TS12,S2_H3,S2,H3,4,3,"[3, 4, 5]","[19, 20, 21, 22, 23, 24]",6,92,552,0.063014
ts_12,TS12,S3_H1,S3,H1,4,3,"[6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]",8,92,736,0.084018
ts_12,TS12,S3_H2,S3,H2,4,3,"[6, 7, 8]","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10,92,920,0.105023
ts_12,TS12,S3_H3,S3,H3,4,3,"[6, 7, 8]","[19, 20, 21, 22, 23, 24]",6,92,552,0.063014
ts_12,TS12,S4_H1,S4,H1,4,3,"[9, 10, 11]","[1, 2, 3, 4, 5, 6, 7, 8]",8,91,728,0.083105
ts_12,TS12,S4_H2,S4,H2,4,3,"[9, 10, 11]","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10,91,910,0.103881
ts_12,TS12,S4_H3,S4,H3,4,3,"[9, 10, 11]","[19, 20, 21, 22, 23, 24]",6,91,546,0.062329
ts_24,TS24,S1_H1,S1,H1,6,4,"[1, 12]","[1, 2, 3, 4, 5, 6]",6,62,372,0.042466
ts_24,TS24,S1_H2,S1,H2,6,4,"[1, 12]","[7, 8, 9, 10, 11, 12]",6,62,372,0.042466
ts_24,TS24,S1_H3,S1,H3,6,4,"[1, 12]","[13, 14, 15, 16, 17, 18]",6,62,372,0.042466
ts_24,TS24,S1_H4,S1,H4,6,4,"[1, 12]","[19, 20, 21, 22, 23, 24]",6,62,372,0.042466
ts_24,TS24,S2_H1,S2,H1,6,4,"[2, 3]","[1, 2, 3, 4, 5, 6]",6,59,354,0.040411
ts_24,TS24,S2_H2,S2,H2,6,4,"[2, 3]","[7, 8, 9, 10, 11, 12]",6,59,354,0.040411
ts_24,TS24,S2_H3,S2,H3,6,4,"[2, 3]","[13, 14, 15, 16, 17, 18]",6,59,354,0.040411
ts_24,TS24,S2_H4,S2,H4,6,4,"[2, 3]","[19, 20, 21, 22, 23, 24]",6,59,354,0.040411
ts_24,TS24,S3_H1,S3,H1,6,4,"[4, 5]","[1, 2, 3, 4, 5, 6]",6,61,366,0.041781
ts_24,TS24,S3_H2,S3,H2,6,4,"[4, 5]","[7, 8, 9, 10, 11, 12]",6,61,366,0.041781
