outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,14.648655279497346,17.106040325329595,18.511577310922718,108
cum_wind_twh,C2,16.672130781285546,19.986744119185552,26.340040278500872,108
cum_wind_twh,C3,17.810449162665257,22.357105544960817,27.316259187109484,108
cum_wind_twh,C4,26.809801534036723,32.55222070712263,43.93793789471142,108
cum_wind_twh,C7,60.75642831831833,69.4337619799854,76.67733635526258,96
cum_wind_twh,POOL,17.802443652194327,23.72456794509395,41.80394585119718,528
cum_solar_twh,C1,-10.404093519717037,-8.817639018768833,-7.2751354449945635,108
cum_solar_twh,C2,-10.382066293560907,-9.14537828337529,-6.959263598185894,108
cum_solar_twh,C3,-15.114926564167936,-12.830995465281337,-9.846589825567248,108
cum_solar_twh,C4,-46.598354927761825,-34.156092234353096,-26.82019184312995,108
cum_solar_twh,C7,-15.650559974261647,-4.929096746906488,7.758588914754217,96
cum_solar_twh,POOL,-19.196111814954357,-10.772872638973059,-7.501919432160243,528
avg_elec_price,C1,-22.84154077333768,-17.381116385130127,-13.757086833186676,108
avg_elec_price,C2,-24.091775253653275,-18.4586212877913,-15.587143928184748,108
avg_elec_price,C3,-25.6970081111786,-21.084106621057256,-17.14076119627418,108
avg_elec_price,C4,-36.04881154925012,-27.154335506826992,-22.339389719161122,108
avg_elec_price,C7,-43.01580966253802,-29.494458411759524,-22.421606968207424,96
avg_elec_price,POOL,-28.527863473159066,-22.561831557277287,-17.101084737552384,528
npv_cost_bn,C1,-8.302252315742685,-7.363978892227512,-6.582366083087966,108
npv_cost_bn,C2,-8.719921696398748,-5.729836030446176,0.06804844717909425,108
npv_cost_bn,C3,-6.782861309253153,-2.982029274170225,1.2135694116474525,108
npv_cost_bn,C4,-1.9409171088609984,8.467522350292136,31.128240151652353,108
npv_cost_bn,C7,21.776933433331806,30.864485127846265,47.66373661733532,96
npv_cost_bn,POOL,-7.468025748129815,-2.333130762146538,11.53728643885539,528
cum_emissions_mt,C1,-1.7429965946703958,-1.4181993378652153,-1.063765391098646,108
cum_emissions_mt,C2,-3.6749142987815486,-1.922760347715991,-1.0705296236853536,108
cum_emissions_mt,C3,-2.6274081078184337,-2.050735363561642,-1.4943348950226167,108
cum_emissions_mt,C4,-3.0936554571753865,-2.1129770113732893,-1.3814740561008445,108
cum_emissions_mt,C7,-63.23190327176369,-52.224193544222295,-34.93410897559484,96
cum_emissions_mt,POOL,-3.90134834678463,-2.149359385989332,-1.3642301633971408,528
