outcome,climate,p25,p50,p75,n
cum_wind_twh,C1,0.4131042606261818,1.5428431207876874,3.019192306423925,36
cum_wind_twh,C2,-4.491517280211699,1.139527422201759,3.2569832127237435,36
cum_wind_twh,C3,-3.30859913805097,-1.1325109803101534,1.8461643581724974,36
cum_wind_twh,C4,-6.104354420965818,-2.9561214093032557,-0.9691107891653603,36
cum_wind_twh,C7,-25.509946603903874,-8.875486664545079,9.660872179320688,32
cum_wind_twh,POOL,-4.512922661128423,-0.15462593151348986,2.912876267878762,176
cum_solar_twh,C1,15.264375227566468,18.774039766221414,23.653546616745217,36
cum_solar_twh,C2,11.669041278029098,13.488431312401453,17.03776702363655,36
cum_solar_twh,C3,8.476053269733004,17.202048844546105,23.70891725468466,36
cum_solar_twh,C4,-28.92696275770564,-4.9954893729828616,15.11431217192574,36
cum_solar_twh,C7,-74.33764800902482,-65.33271019529695,-50.16742719832298,32
cum_solar_twh,POOL,-6.93205934455029,12.890194047467013,19.5784592717101,176
avg_elec_price,C1,12.132489692774882,17.07840364746386,24.285019155935792,36
avg_elec_price,C2,13.59418440288398,19.177225353223378,25.204911718696806,36
avg_elec_price,C3,18.692480089984922,24.438646530189864,33.108206277004214,36
avg_elec_price,C4,24.71846829591751,32.146577020771936,46.855627366713236,36
avg_elec_price,C7,43.1954965477173,54.51367802264984,69.7230642677783,32
avg_elec_price,POOL,17.140116182272177,25.992390922990317,39.7921149268522,176
nonvre_cf,C1,-38.82738570648196,-36.815835270237905,-33.93045031921825,36
nonvre_cf,C2,-34.80902066585604,-31.78435021712184,-29.697630821919113,36
nonvre_cf,C3,-32.62482983935553,-28.88103666962447,-25.00990518955496,36
nonvre_cf,C4,-42.23174496424421,-35.26468748618237,-29.91618131020632,36
nonvre_cf,C7,-77.5033870144711,-72.42470102277674,-65.46160291587312,32
nonvre_cf,POOL,-42.23174496424421,-34.79278105862073,-30.19797450771933,176
npv_cost_bn,C1,13.665526508982879,17.04463564796128,19.52476730820921,36
npv_cost_bn,C2,18.496437259487536,22.214401593867517,29.693882137322703,36
npv_cost_bn,C3,17.56274869139086,26.165674900609133,30.363856307310588,36
npv_cost_bn,C4,36.18956694986153,54.46241934276395,67.0297346620352,36
npv_cost_bn,C7,29.804662383414893,55.264290665343424,65.24042221045968,32
npv_cost_bn,POOL,18.332300912566907,26.602112223556826,43.40215218469507,176
cum_emissions_mt,C1,0.2680421170873236,0.8786978111874936,1.1266146540134798,36
cum_emissions_mt,C2,0.7204069622204899,1.0745384406370722,3.2388347200923278,36
cum_emissions_mt,C3,1.0813588247536128,1.7403147249900666,3.277939729240114,36
cum_emissions_mt,C4,2.0192092014182936,3.048340007818673,3.803863077950104,36
cum_emissions_mt,C7,24.091304534816494,38.622797146618865,53.51425340597098,32
cum_emissions_mt,POOL,0.9950943435531768,1.973660544697328,4.275528856691106,176
