channel,outcome,climate,world_p50,regional_min,regional_p25_of_p50,regional_median_of_p50,regional_p75_of_p50,regional_max,n_regions
supply,cum_wind_twh,C1,15.9341959458005,-1.8354695350445625,8.74151755218201,22.934063514874904,28.485882120913068,64.52560473043063,10
supply,cum_wind_twh,C2,18.814726250524444,1.5894274259531005,12.78049686049945,21.48545102279849,36.31805140430416,85.46024706953969,10
supply,cum_wind_twh,C3,21.277897389958124,5.549627533654098,9.133281894746487,27.842902288854994,33.04348989380092,88.48773800793765,10
supply,cum_wind_twh,C4,30.31733714656716,4.784364375748682,10.900680310326093,28.556346234214985,55.28032616172502,89.99999999999999,10
supply,cum_wind_twh,C7,69.30352671357701,-30.555569911527225,54.751575630508455,75.73768973511466,89.78969873818792,90.0,10
supply,cum_solar_twh,C1,-7.7234827945338616,-40.74170846370377,-20.96609976213027,-8.028318101811038,-3.491489044246241,40.94020626837263,10
supply,cum_solar_twh,C2,-8.6600467811796,-44.38901724441192,-20.873176249622265,-8.711579996051444,-3.4924331798978043,64.04043822869983,10
supply,cum_solar_twh,C3,-12.086884522423516,-44.64477684533768,-24.682914831098653,-8.922732120966085,-6.563830928453374,53.49076250679295,10
supply,cum_solar_twh,C4,-32.9381625027258,-65.58580909759436,-47.55449381621656,-14.77819157830364,-8.398801436725442,61.22407484612276,10
supply,cum_solar_twh,C7,-5.994040656656512,-68.18503873740184,-37.253934628732985,3.081871443577518,26.07638482808298,73.72759419006599,10
supply,avg_elec_price,C1,-14.12764629532657,-43.57732853423657,-22.92137281240798,-15.075392056397602,-9.156616209799955,-6.029631500410072,10
supply,avg_elec_price,C2,-17.268307860548095,-56.46616482100356,-31.83954119814667,-17.493299230370148,-10.561102802912659,-6.5787229973546335,10
supply,avg_elec_price,C3,-19.859008057233368,-51.20645378186386,-26.655825292263422,-20.798078019893715,-7.452596679393725,-5.855064099438988,10
supply,avg_elec_price,C4,-25.892126493035157,-62.26563630460269,-33.48210578704348,-21.27784674443885,-11.32373619817021,-8.447919767631937,10
supply,avg_elec_price,C7,-30.462394008904703,-67.99171248230249,-35.147786299688335,-13.86547308304183,-10.429797290288297,-7.154074802681075,10
supply,nonvre_cf,C1,-10.619312428403065,-26.66217711990985,-18.585158278602204,-14.529870428273025,-7.2400261516202455,-2.19186766587752,10
supply,nonvre_cf,C2,-11.444508439112573,-32.47528742243941,-18.127933220283047,-12.833461301694626,-8.397183697003063,-2.7461299104324595,10
supply,nonvre_cf,C3,-13.67969746587952,-27.55896384893713,-21.013611488966884,-14.949429415936235,-9.161205588569835,-2.922951076266856,10
supply,nonvre_cf,C4,-19.66310200395374,-36.57810942441338,-33.578407494670664,-22.75097752949234,-8.81843222939743,-6.327657836706997,10
supply,nonvre_cf,C7,-56.88152604725863,-67.54873294273592,-64.20458677186292,-49.879861865486134,-31.684268225800032,-18.726145327271063,10
